name,points,challenge,elibigility
Forcalon,5611,"{'challenge_name': ['basic rust rev', 'trynewthings', 'television', 'Portal', 'Computer Has Virus', 'pineapple', 'think_twice', 'unpopcorn', 'decipherium', 'TommyCam', 'beer sales', 'Spooky Query Leaks', 'tictactocket', ""Tommy's Artventures"", 'concoction (rev)', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)', 'welcome'], 'challenge_category': ['rev', 'rev', 'osint', 'pwn', 'forensics', 'forensics', 'forensics', 'crypto', 'crypto', 'osint', 'osint', 'web', 'web', 'web', 'beginner', 'beginner', 'beginner', 'beginner', 'welcome'], 'challenge_points': ['366', '316', '300', '300', '300', '300', '300', '300', '300', '300', '300', '419', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-03T17:11:38.449211Z', '2024-11-03T16:58:07.752402Z', '2024-11-03T15:48:53.924043Z', '2024-11-03T15:17:03.081739Z', '2024-11-03T14:58:13.823046Z', '2024-11-03T14:26:54.709879Z', '2024-11-03T13:41:48.764776Z', '2024-11-03T03:17:57.441235Z', '2024-11-03T03:13:34.887733Z', '2024-11-03T02:38:41.675573Z', '2024-11-03T02:36:36.168991Z', '2024-11-03T02:31:46.618449Z', '2024-11-03T00:22:11.019534Z', '2024-11-03T00:16:46.452542Z', '2024-11-03T00:08:25.338437Z', '2024-11-02T23:43:28.090846Z', '2024-11-02T23:42:15.515348Z', '2024-11-02T23:40:00.992555Z', '2024-11-02T23:38:09.648854Z']}","Competitive (Individual, for prizes)"
b4n4n4s,5594,"{'challenge_name': ['television', 'Survey', 'tictactocket', 'basic rust rev', 'Buildings', 'beer sales', 'TommyCam', 'Redwoods', 'trynewthings', 'concoction (rev)', 'Portal', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)', 'pineapple', 'Computer Has Virus', 'think_twice', 'unpopcorn', 'decipherium', 'welcome'], 'challenge_category': ['osint', 'feedback', 'web', 'rev', 'osint', 'osint', 'osint', 'misc', 'rev', 'beginner', 'pwn', 'beginner', 'beginner', 'beginner', 'forensics', 'forensics', 'forensics', 'crypto', 'crypto', 'welcome'], 'challenge_points': ['300', '11', '300', '366', '300', '300', '300', '391', '316', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-03T13:50:15.123445Z', '2024-11-03T07:29:08.329175Z', '2024-11-02T15:56:45.554492Z', '2024-11-02T15:05:48.802028Z', '2024-11-02T14:38:52.357383Z', '2024-11-02T12:38:59.207769Z', '2024-11-02T12:34:14.373539Z', '2024-11-02T12:29:33.933796Z', '2024-11-02T11:42:07.160101Z', '2024-11-02T11:30:37.457966Z', '2024-11-02T11:19:27.217170Z', '2024-11-02T11:10:12.750082Z', '2024-11-02T11:02:51.242098Z', '2024-11-02T10:57:28.473598Z', '2024-11-02T10:50:34.182567Z', '2024-11-02T10:40:38.988990Z', '2024-11-02T10:37:53.687049Z', '2024-11-02T10:20:38.038584Z', '2024-11-02T10:07:39.820527Z', '2024-11-02T10:00:27.629363Z']}","Casual (No prizes, teams allowed)"
arbri-gj,5575,"{'challenge_name': ['unpopcorn', 'tictacBINGO', 'tictactocket', 'television', 'concoction (rev)', 'pineapple', 'Survey', ""Tommy's Artventures"", 'EEnemies', 'Buildings', 'iRobots (web)', 'Redwoods', 'welcome', 'weirdtraffic (forensics)', 'colors (crypto)', 'Computer Has Virus', 'think_twice', 'beer sales', 'TommyCam'], 'challenge_category': ['crypto', 'web', 'web', 'osint', 'beginner', 'forensics', 'feedback', 'web', 'misc', 'osint', 'beginner', 'misc', 'welcome', 'beginner', 'beginner', 'forensics', 'forensics', 'osint', 'osint'], 'challenge_points': ['300', '470', '300', '300', '300', '300', '11', '300', '493', '300', '300', '391', '10', '300', '300', '300', '300', '300', '300'], 'solve_time': ['2024-11-04T01:43:02.371476Z', '2024-11-03T21:55:38.063707Z', '2024-11-03T21:42:42.387492Z', '2024-11-03T17:15:41.013922Z', '2024-11-03T15:07:30.698494Z', '2024-11-03T14:38:41.522888Z', '2024-11-03T13:51:43.770517Z', '2024-11-03T13:43:55.490547Z', '2024-11-03T00:37:42.574777Z', '2024-11-02T21:41:24.794468Z', '2024-11-02T19:55:12.053255Z', '2024-11-02T18:49:51.237942Z', '2024-11-02T15:40:12.450623Z', '2024-11-02T15:35:31.099149Z', '2024-11-02T15:35:21.644977Z', '2024-11-02T15:35:01.137578Z', '2024-11-02T15:34:40.300810Z', '2024-11-02T14:51:11.146041Z', '2024-11-02T14:47:26.919877Z']}","Casual (No prizes, teams allowed)"
myst,5556,"{'challenge_name': ['Spooky Query Leaks', 'trynewthings', 'Buildings', 'television', 'Survey', 'TommyCam', 'unpopcorn', 'beer sales', 'concoction (rev)', 'Portal', 'decipherium', 'tictactocket', 'pineapple', 'welcome', 'Computer Has Virus', 'think_twice', ""Tommy's Artventures"", 'weirdtraffic (forensics)', 'colors (crypto)', 'iRobots (web)'], 'challenge_category': ['web', 'rev', 'osint', 'osint', 'feedback', 'osint', 'crypto', 'osint', 'beginner', 'pwn', 'crypto', 'web', 'forensics', 'welcome', 'forensics', 'forensics', 'web', 'beginner', 'beginner', 'beginner'], 'challenge_points': ['419', '316', '300', '300', '11', '300', '300', '300', '300', '300', '300', '300', '300', '10', '300', '300', '300', '300', '300', '300'], 'solve_time': ['2024-11-03T13:19:23.647074Z', '2024-11-03T08:46:47.602602Z', '2024-11-03T04:43:51.957176Z', '2024-11-03T04:26:03.515724Z', '2024-11-03T04:22:55.914110Z', '2024-11-02T18:48:56.983834Z', '2024-11-02T18:25:24.766018Z', '2024-11-02T17:29:20.972028Z', '2024-11-02T17:11:03.791814Z', '2024-11-02T16:51:08.198957Z', '2024-11-02T16:12:02.686596Z', '2024-11-02T15:17:27.759954Z', '2024-11-02T12:52:10.603982Z', '2024-11-02T12:41:11.873734Z', '2024-11-02T11:34:28.739747Z', '2024-11-02T11:31:14.677102Z', '2024-11-02T11:23:38.064025Z', '2024-11-02T10:53:20.984610Z', '2024-11-02T06:13:32.772559Z', '2024-11-02T06:06:03.433661Z']}","Casual (No prizes, teams allowed)"
thebokya,5501,"{'challenge_name': ['Spooky Query Leaks', 'unpopcorn', 'Portal', 'Survey', 'decipherium', 'Redwoods', 'Buildings', 'weirdtraffic (forensics)', 'television', 'concoction (rev)', 'tictacBINGO', 'think_twice', 'tictactocket', ""Tommy's Artventures"", 'colors (crypto)', 'TommyCam', 'beer sales', 'iRobots (web)', 'welcome'], 'challenge_category': ['web', 'crypto', 'pwn', 'feedback', 'crypto', 'misc', 'osint', 'beginner', 'osint', 'beginner', 'web', 'forensics', 'web', 'web', 'beginner', 'osint', 'osint', 'beginner', 'welcome'], 'challenge_points': ['419', '300', '300', '11', '300', '391', '300', '300', '300', '300', '470', '300', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-03T17:56:10.680262Z', '2024-11-03T17:42:03.353967Z', '2024-11-03T16:34:31.815311Z', '2024-11-03T14:08:45.393636Z', '2024-11-03T13:53:40.922419Z', '2024-11-03T13:12:22.966167Z', '2024-11-03T10:33:33.915959Z', '2024-11-03T10:04:30.435190Z', '2024-11-03T09:54:26.208012Z', '2024-11-03T09:33:47.699385Z', '2024-11-03T09:14:52.059873Z', '2024-11-03T08:40:39.202851Z', '2024-11-03T07:27:59.516549Z', '2024-11-03T06:11:35.252268Z', '2024-11-02T21:59:44.768342Z', '2024-11-02T21:35:45.853671Z', '2024-11-02T21:31:45.831449Z', '2024-11-02T20:09:40.278858Z', '2024-11-02T19:59:16.768859Z']}","Competitive (Individual, for prizes)"
nilscrls,5484,"{'challenge_name': ['Reader', 'Survey', 'Vault', 'TommyCam', 'beer sales', 'welcome', 'Computer Has Virus', 'think_twice', 'basic rust rev', ""D' Lo"", 'unpopcorn', 'Portal', 'Spooky Query Leaks', ""Tommy's Artventures"", 'concoction (rev)', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)'], 'challenge_category': ['pwn', 'feedback', 'rev', 'osint', 'osint', 'welcome', 'forensics', 'forensics', 'rev', 'crypto', 'crypto', 'pwn', 'web', 'web', 'beginner', 'beginner', 'beginner', 'beginner'], 'challenge_points': ['436', '11', '477', '300', '300', '10', '300', '300', '366', '465', '300', '300', '419', '300', '300', '300', '300', '300'], 'solve_time': ['2024-11-03T08:08:36.912434Z', '2024-11-03T07:06:55.108031Z', '2024-11-03T07:04:03.824401Z', '2024-11-02T21:18:24.598517Z', '2024-11-02T21:13:22.748969Z', '2024-11-02T21:05:03.829973Z', '2024-11-02T20:42:50.408225Z', '2024-11-02T20:16:13.190609Z', '2024-11-02T20:13:13.094632Z', '2024-11-02T20:09:06.910511Z', '2024-11-02T11:38:10.465542Z', '2024-11-02T11:13:59.143354Z', '2024-11-02T10:36:26.977306Z', '2024-11-02T08:15:20.186218Z', '2024-11-02T08:07:10.600388Z', '2024-11-02T07:56:18.610799Z', '2024-11-02T07:54:25.156188Z', '2024-11-02T07:53:09.573632Z']}","Casual (No prizes, teams allowed)"
JeanPiffre,5294,"{'challenge_name': ['television', 'Survey', 'Redwoods', 'basic rust rev', 'trynewthings', 'Buildings', ""Tommy's Artventures"", 'unpopcorn', 'decipherium', 'pineapple', 'Computer Has Virus', 'beer sales', 'TommyCam', 'think_twice', 'concoction (rev)', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)', 'welcome'], 'challenge_category': ['osint', 'feedback', 'misc', 'rev', 'rev', 'osint', 'web', 'crypto', 'crypto', 'forensics', 'forensics', 'osint', 'osint', 'forensics', 'beginner', 'beginner', 'beginner', 'beginner', 'welcome'], 'challenge_points': ['300', '11', '391', '366', '316', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-03T10:12:57.756051Z', '2024-11-03T10:01:03.596814Z', '2024-11-02T22:43:30.684098Z', '2024-11-02T21:43:28.627375Z', '2024-11-02T21:37:57.113068Z', '2024-11-02T21:01:25.557630Z', '2024-11-02T19:53:50.473037Z', '2024-11-02T15:15:14.729765Z', '2024-11-02T14:51:13.914289Z', '2024-11-02T14:02:28.451945Z', '2024-11-02T13:39:19.132184Z', '2024-11-02T11:30:13.025545Z', '2024-11-02T11:18:37.647547Z', '2024-11-02T11:10:07.255991Z', '2024-11-02T11:06:25.505366Z', '2024-11-02T10:53:30.157984Z', '2024-11-02T10:49:07.246627Z', '2024-11-02T10:47:13.017990Z', '2024-11-02T10:41:20.475471Z']}","Casual (No prizes, teams allowed)"
Majino,5256,"{'challenge_name': ['trynewthings', 'television', 'Survey', 'unpopcorn', 'decipherium', 'Portal', 'Spooky Query Leaks', 'tictactocket', ""Tommy's Artventures"", 'TommyCam', 'beer sales', 'pineapple', 'Computer Has Virus', 'think_twice', 'concoction (rev)', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)', 'welcome'], 'challenge_category': ['rev', 'osint', 'feedback', 'crypto', 'crypto', 'pwn', 'web', 'web', 'web', 'osint', 'osint', 'forensics', 'forensics', 'forensics', 'beginner', 'beginner', 'beginner', 'beginner', 'welcome'], 'challenge_points': ['316', '300', '11', '300', '300', '300', '419', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-03T19:41:17.275763Z', '2024-11-03T18:51:45.619596Z', '2024-11-03T14:04:36.799946Z', '2024-11-02T23:11:39.081120Z', '2024-11-02T23:08:20.119746Z', '2024-11-02T22:23:22.514975Z', '2024-11-02T19:23:19.545608Z', '2024-11-02T17:02:53.709014Z', '2024-11-02T15:43:13.362721Z', '2024-11-02T14:40:42.066822Z', '2024-11-02T13:53:11.755463Z', '2024-11-02T13:38:58.795653Z', '2024-11-02T12:31:17.366183Z', '2024-11-02T12:25:57.069703Z', '2024-11-02T12:24:16.819289Z', '2024-11-02T11:29:07.702255Z', '2024-11-02T11:22:38.640876Z', '2024-11-02T11:21:30.507282Z', '2024-11-02T11:20:33.991706Z']}","Casual (No prizes, teams allowed)"
what,5234,"{'challenge_name': ['television', 'welcome', 'Vault', 'basic rust rev', 'trynewthings', ""D' Lo"", 'decipherium', ""Tommy's Artventures"", 'beer sales', 'TommyCam', 'Computer Has Virus', 'pineapple', 'think_twice', 'concoction (rev)', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)'], 'challenge_category': ['osint', 'welcome', 'rev', 'rev', 'rev', 'crypto', 'crypto', 'web', 'osint', 'osint', 'forensics', 'forensics', 'forensics', 'beginner', 'beginner', 'beginner', 'beginner'], 'challenge_points': ['300', '10', '477', '366', '316', '465', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300'], 'solve_time': ['2024-11-03T05:38:48.175657Z', '2024-11-02T15:44:47.591329Z', '2024-11-02T14:20:23.923223Z', '2024-11-02T08:25:41.316908Z', '2024-11-02T08:21:51.340761Z', '2024-11-02T07:29:20.719866Z', '2024-11-02T06:04:58.971520Z', '2024-11-02T04:52:59.100579Z', '2024-11-02T04:47:07.138713Z', '2024-11-02T04:45:37.603329Z', '2024-11-02T04:41:19.020336Z', '2024-11-02T04:34:55.788008Z', '2024-11-02T04:23:30.494839Z', '2024-11-02T04:22:08.707675Z', '2024-11-02T04:08:42.709743Z', '2024-11-02T04:08:11.636990Z', '2024-11-02T04:07:13.161866Z']}","Casual (No prizes, teams allowed)"
siek1,5228,"{'challenge_name': ['Survey', 'television', 'beer sales', 'decipherium', 'Redwoods', 'unpopcorn', 'trynewthings', 'pineapple', 'Portal', 'Computer Has Virus', 'think_twice', 'tictactocket', 'welcome', ""Tommy's Artventures"", 'TommyCam', 'concoction (rev)', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)'], 'challenge_category': ['feedback', 'osint', 'osint', 'crypto', 'misc', 'crypto', 'rev', 'forensics', 'pwn', 'forensics', 'forensics', 'web', 'welcome', 'web', 'osint', 'beginner', 'beginner', 'beginner', 'beginner'], 'challenge_points': ['11', '300', '300', '300', '391', '300', '316', '300', '300', '300', '300', '300', '10', '300', '300', '300', '300', '300', '300'], 'solve_time': ['2024-11-03T07:23:07.785563Z', '2024-11-03T07:19:14.115907Z', '2024-11-03T07:14:23.729356Z', '2024-11-02T13:30:58.241276Z', '2024-11-02T12:25:06.627661Z', '2024-11-02T12:01:37.369360Z', '2024-11-02T11:58:53.713592Z', '2024-11-02T11:47:34.441912Z', '2024-11-02T11:17:26.596999Z', '2024-11-02T10:54:10.841579Z', '2024-11-02T10:40:06.403018Z', '2024-11-02T09:13:28.345522Z', '2024-11-02T07:59:43.161350Z', '2024-11-02T07:22:19.285970Z', '2024-11-02T06:00:20.722095Z', '2024-11-02T05:55:11.457969Z', '2024-11-02T05:42:40.190614Z', '2024-11-02T05:42:22.541879Z', '2024-11-02T05:42:15.408210Z']}","Competitive (Individual, for prizes)"
miles,5228,"{'challenge_name': ['trynewthings', ""Tommy's Artventures"", 'unpopcorn', 'television', 'Survey', 'Redwoods', 'pineapple', 'Portal', 'Computer Has Virus', 'TommyCam', 'Buildings', 'beer sales', 'weirdtraffic (forensics)', 'decipherium', 'think_twice', 'concoction (rev)', 'iRobots (web)', 'colors (crypto)', 'welcome'], 'challenge_category': ['rev', 'web', 'crypto', 'osint', 'feedback', 'misc', 'forensics', 'pwn', 'forensics', 'osint', 'osint', 'osint', 'beginner', 'crypto', 'forensics', 'beginner', 'beginner', 'beginner', 'welcome'], 'challenge_points': ['316', '300', '300', '300', '11', '391', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-03T10:01:07.026526Z', '2024-11-03T08:31:27.300637Z', '2024-11-03T07:44:46.887422Z', '2024-11-03T06:49:28.089198Z', '2024-11-03T06:27:00.325076Z', '2024-11-02T22:00:21.937663Z', '2024-11-02T21:28:36.020547Z', '2024-11-02T21:15:39.510375Z', '2024-11-02T20:58:17.926751Z', '2024-11-02T20:46:49.380515Z', '2024-11-02T20:43:42.657572Z', '2024-11-02T20:36:50.458241Z', '2024-11-02T06:55:57.643907Z', '2024-11-02T06:10:50.791879Z', '2024-11-02T05:56:26.205535Z', '2024-11-02T05:50:19.600058Z', '2024-11-02T05:46:55.069756Z', '2024-11-02T05:46:17.360045Z', '2024-11-02T05:45:02.072961Z']}","Competitive (Individual, for prizes)"
gg,5111,"{'challenge_name': ['television', 'Reader', 'Portal', 'welcome', 'Buildings', 'beer sales', 'TommyCam', ""D' Lo"", 'unpopcorn', 'decipherium', 'concoction (rev)', 'iRobots (web)', 'colors (crypto)', 'weirdtraffic (forensics)', 'pineapple', 'Computer Has Virus', 'think_twice'], 'challenge_category': ['osint', 'pwn', 'pwn', 'welcome', 'osint', 'osint', 'osint', 'crypto', 'crypto', 'crypto', 'beginner', 'beginner', 'beginner', 'beginner', 'forensics', 'forensics', 'forensics'], 'challenge_points': ['300', '436', '300', '10', '300', '300', '300', '465', '300', '300', '300', '300', '300', '300', '300', '300', '300'], 'solve_time': ['2024-11-03T07:08:15.978708Z', '2024-11-02T15:03:15.502582Z', '2024-11-02T13:44:33.051067Z', '2024-11-02T13:30:13.873247Z', '2024-11-02T13:29:39.935530Z', '2024-11-02T12:48:43.914760Z', '2024-11-02T12:39:50.802948Z', '2024-11-02T12:25:01.238029Z', '2024-11-02T10:47:43.798958Z', '2024-11-02T09:47:53.577076Z', '2024-11-02T09:34:36.441969Z', '2024-11-02T09:29:11.657068Z', '2024-11-02T09:19:45.705557Z', '2024-11-02T09:17:58.308182Z', '2024-11-02T09:16:42.251527Z', '2024-11-02T09:11:29.961804Z', '2024-11-02T09:08:08.035444Z']}","Casual (No prizes, teams allowed)"
CYB3R_BO1,5110,"{'challenge_name': ['decipherium', 'tictacBINGO', 'Spooky Query Leaks', 'tictactocket', ""Tommy's Artventures"", 'think_twice', 'Computer Has Virus', 'pineapple', 'television', 'Survey', 'concoction (rev)', 'Buildings', 'TommyCam', 'beer sales', 'colors (crypto)', 'iRobots (web)', 'weirdtraffic (forensics)', 'welcome'], 'challenge_category': ['crypto', 'web', 'web', 'web', 'web', 'forensics', 'forensics', 'forensics', 'osint', 'feedback', 'beginner', 'osint', 'osint', 'osint', 'beginner', 'beginner', 'beginner', 'welcome'], 'challenge_points': ['300', '470', '419', '300', '300', '300', '300', '300', '300', '11', '300', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-03T15:51:14.772821Z', '2024-11-03T14:50:41.081688Z', '2024-11-03T14:50:06.164700Z', '2024-11-03T14:49:43.688030Z', '2024-11-03T14:48:36.960732Z', '2024-11-03T13:26:00.244744Z', '2024-11-03T13:17:49.570139Z', '2024-11-03T12:14:19.082273Z', '2024-11-03T05:36:02.292542Z', '2024-11-03T05:10:19.121836Z', '2024-11-02T11:49:11.498196Z', '2024-11-02T11:43:36.871256Z', '2024-11-02T11:00:07.233170Z', '2024-11-02T10:51:55.117827Z', '2024-11-02T03:48:57.439056Z', '2024-11-02T03:15:31.814488Z', '2024-11-02T03:12:21.656687Z', '2024-11-02T03:05:43.478210Z']}","Competitive (Individual, for prizes)"
rullskridskodisko,5110,"{'challenge_name': ['television', ""Tommy's Artventures"", 'Spooky Query Leaks', 'tictacBINGO', 'Survey', 'Portal', 'unpopcorn', 'decipherium', 'tictactocket', 'beer sales', 'TommyCam', 'Computer Has Virus', 'think_twice', 'concoction (rev)', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)', 'welcome'], 'challenge_category': ['osint', 'web', 'web', 'web', 'feedback', 'pwn', 'crypto', 'crypto', 'web', 'osint', 'osint', 'forensics', 'forensics', 'beginner', 'beginner', 'beginner', 'beginner', 'welcome'], 'challenge_points': ['300', '300', '419', '470', '11', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-03T20:05:04.990546Z', '2024-11-03T19:58:34.706074Z', '2024-11-03T16:59:18.579064Z', '2024-11-03T15:37:27.042159Z', '2024-11-03T11:52:13.420192Z', '2024-11-03T11:36:21.402018Z', '2024-11-03T10:12:10.977909Z', '2024-11-02T11:50:02.359630Z', '2024-11-02T11:09:42.940699Z', '2024-11-02T10:45:12.662516Z', '2024-11-02T10:42:38.742092Z', '2024-11-02T10:01:28.345181Z', '2024-11-02T09:51:03.847208Z', '2024-11-02T09:49:50.293612Z', '2024-11-02T09:17:11.312071Z', '2024-11-02T09:16:50.962539Z', '2024-11-02T09:15:11.649520Z', '2024-11-02T09:14:22.430076Z']}","Casual (No prizes, teams allowed)"
inst1gator,5105,"{'challenge_name': ['EEnemies', 'Survey', 'television', ""Tommy's Artventures"", 'tictactocket', 'Redwoods', 'decipherium', 'concoction (rev)', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)', 'Buildings', 'TommyCam', 'beer sales', 'Portal', 'pineapple', 'think_twice', 'welcome'], 'challenge_category': ['misc', 'feedback', 'osint', 'web', 'web', 'misc', 'crypto', 'beginner', 'beginner', 'beginner', 'beginner', 'osint', 'osint', 'osint', 'pwn', 'forensics', 'forensics', 'welcome'], 'challenge_points': ['493', '11', '300', '300', '300', '391', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-04T00:08:47.988362Z', '2024-11-03T22:08:25.575331Z', '2024-11-03T20:38:44.993145Z', '2024-11-03T19:52:58.392906Z', '2024-11-03T17:34:36.945717Z', '2024-11-02T21:00:55.226741Z', '2024-11-02T18:36:19.869795Z', '2024-11-02T16:50:32.488131Z', '2024-11-02T15:48:13.205699Z', '2024-11-02T15:41:29.227077Z', '2024-11-02T15:30:46.583815Z', '2024-11-02T15:19:36.470076Z', '2024-11-02T14:14:57.480522Z', '2024-11-02T14:03:37.796096Z', '2024-11-02T13:46:28.562022Z', '2024-11-02T03:34:00.527109Z', '2024-11-02T03:20:26.453389Z', '2024-11-02T03:14:47.069005Z']}","Casual (No prizes, teams allowed)"
Senyum,5031,"{'challenge_name': ['Survey', 'Spooky Query Leaks', 'pineapple', 'unpopcorn', 'tictactocket', ""Tommy's Artventures"", 'Buildings', 'television', 'TommyCam', 'beer sales', 'Redwoods', 'welcome', 'Computer Has Virus', 'think_twice', 'concoction (rev)', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)'], 'challenge_category': ['feedback', 'web', 'forensics', 'crypto', 'web', 'web', 'osint', 'osint', 'osint', 'osint', 'misc', 'welcome', 'forensics', 'forensics', 'beginner', 'beginner', 'beginner', 'beginner'], 'challenge_points': ['11', '419', '300', '300', '300', '300', '300', '300', '300', '300', '391', '10', '300', '300', '300', '300', '300', '300'], 'solve_time': ['2024-11-03T23:36:53.718850Z', '2024-11-03T22:05:46.903747Z', '2024-11-03T18:46:22.529036Z', '2024-11-03T17:37:12.254848Z', '2024-11-03T14:55:32.615266Z', '2024-11-03T14:09:06.424351Z', '2024-11-03T14:01:20.709682Z', '2024-11-03T13:47:03.222072Z', '2024-11-03T13:32:58.155589Z', '2024-11-03T13:29:14.647115Z', '2024-11-03T11:33:00.831162Z', '2024-11-03T11:08:39.373835Z', '2024-11-03T11:08:10.589013Z', '2024-11-02T22:26:54.569335Z', '2024-11-02T22:25:25.910656Z', '2024-11-02T22:14:56.552064Z', '2024-11-02T22:13:36.652727Z', '2024-11-02T22:11:45.711393Z']}","Casual (No prizes, teams allowed)"
KangTheConq,4983,"{'challenge_name': ['Redwoods', 'beer sales', 'basic rust rev', 'trynewthings', 'unpopcorn', 'decipherium', ""Tommy's Artventures"", 'TommyCam', 'tictactocket', 'iRobots (web)', 'welcome', 'concoction (rev)', 'weirdtraffic (forensics)', 'colors (crypto)', 'pineapple', 'Computer Has Virus', 'think_twice'], 'challenge_category': ['misc', 'osint', 'rev', 'rev', 'crypto', 'crypto', 'web', 'osint', 'web', 'beginner', 'welcome', 'beginner', 'beginner', 'beginner', 'forensics', 'forensics', 'forensics'], 'challenge_points': ['391', '300', '366', '316', '300', '300', '300', '300', '300', '300', '10', '300', '300', '300', '300', '300', '300'], 'solve_time': ['2024-11-02T09:41:34.520660Z', '2024-11-02T08:58:32.157875Z', '2024-11-02T08:53:17.076982Z', '2024-11-02T08:15:46.989334Z', '2024-11-02T07:42:17.533879Z', '2024-11-02T07:33:21.737093Z', '2024-11-02T06:59:40.534146Z', '2024-11-02T06:51:08.727653Z', '2024-11-02T05:33:32.109622Z', '2024-11-02T04:56:12.997943Z', '2024-11-02T04:36:15.135637Z', '2024-11-02T04:35:16.780987Z', '2024-11-02T04:22:57.288253Z', '2024-11-02T04:21:52.791527Z', '2024-11-02T04:15:48.802300Z', '2024-11-02T04:02:22.613904Z', '2024-11-02T03:10:28.872718Z']}","Competitive (Individual, for prizes)"
Haru,4956,"{'challenge_name': ['Spooky Query Leaks', 'trynewthings', 'Buildings', 'television', 'Computer Has Virus', 'pineapple', 'Survey', ""Tommy's Artventures"", 'TommyCam', 'Portal', 'beer sales', 'concoction (rev)', 'weirdtraffic (forensics)', 'colors (crypto)', 'think_twice', 'decipherium', 'iRobots (web)', 'welcome'], 'challenge_category': ['web', 'rev', 'osint', 'osint', 'forensics', 'forensics', 'feedback', 'web', 'osint', 'pwn', 'osint', 'beginner', 'beginner', 'beginner', 'forensics', 'crypto', 'beginner', 'welcome'], 'challenge_points': ['419', '316', '300', '300', '300', '300', '11', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-04T03:52:22.837971Z', '2024-11-04T03:50:46.636241Z', '2024-11-03T16:32:45.867415Z', '2024-11-03T15:04:08.543950Z', '2024-11-03T13:53:34.702903Z', '2024-11-03T12:39:02.072675Z', '2024-11-03T12:38:05.333398Z', '2024-11-03T02:57:56.480576Z', '2024-11-03T02:20:06.968574Z', '2024-11-02T18:12:57.089377Z', '2024-11-02T17:55:18.810569Z', '2024-11-02T14:24:28.269650Z', '2024-11-02T13:47:52.996131Z', '2024-11-02T13:47:01.805469Z', '2024-11-02T12:51:28.689691Z', '2024-11-02T12:33:27.041095Z', '2024-11-02T11:51:13.592690Z', '2024-11-02T11:41:38.608888Z']}","Competitive (Individual, for prizes)"
nexus,4912,"{'challenge_name': [""Tommy's Artventures"", 'Survey', 'unpopcorn', 'Computer Has Virus', 'tictactocket', 'television', 'Buildings', 'Redwoods', 'decipherium', 'pineapple', 'think_twice', 'beer sales', 'TommyCam', 'concoction (rev)', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)', 'welcome'], 'challenge_category': ['web', 'feedback', 'crypto', 'forensics', 'web', 'osint', 'osint', 'misc', 'crypto', 'forensics', 'forensics', 'osint', 'osint', 'beginner', 'beginner', 'beginner', 'beginner', 'welcome'], 'challenge_points': ['300', '11', '300', '300', '300', '300', '300', '391', '300', '300', '300', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-03T18:48:29.418905Z', '2024-11-03T18:32:29.025356Z', '2024-11-03T15:38:57.667563Z', '2024-11-03T12:24:49.146957Z', '2024-11-03T11:38:38.484692Z', '2024-11-03T06:54:51.325679Z', '2024-11-03T06:47:38.022182Z', '2024-11-03T05:31:08.119146Z', '2024-11-02T17:50:50.758863Z', '2024-11-02T17:29:42.838048Z', '2024-11-02T17:21:07.375177Z', '2024-11-02T10:02:15.773563Z', '2024-11-02T09:29:43.505453Z', '2024-11-02T09:20:04.413114Z', '2024-11-02T08:44:10.001915Z', '2024-11-02T08:43:42.634210Z', '2024-11-02T08:41:18.736050Z', '2024-11-02T08:37:00.171111Z']}","Casual (No prizes, teams allowed)"
