,team,challenges,score,eligible
69,abbabaab,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed', 'dual_summon', 'pp4'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'crypto', 'jail'], 'challenge_rank': ['2', '16', '25', '43', '23'], 'solve_time': ['2024-11-23T05:00:06.805Z', '2024-11-23T05:36:58.111Z', '2024-11-23T06:39:35.658Z', '2024-11-23T15:05:46.089Z', '2024-11-23T17:18:50.629Z']}",506,InternationalDomestic
70,CYberMouflons,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed', 'Trillion Ether', 'Trillion Bank'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'blockchain', 'web'], 'challenge_rank': ['126', '64', '113', '28', '77'], 'solve_time': ['2024-11-23T05:01:54.878Z', '2024-11-23T08:40:34.944Z', '2024-11-23T22:49:44.928Z', '2024-11-23T22:51:16.334Z', '2024-11-24T00:51:13.841Z']}",501,International
71,TOP PROGRAMMER 2005 DATABASE MAESTRO,"{'challenge_name': ['packed', 'reiwa_rot13', 'Welcome', 'Jump', 'pp4'], 'challenge_category': ['reversing', 'crypto', 'welcome', 'reversing', 'jail'], 'challenge_rank': ['55', '79', '502', '33', '41'], 'solve_time': ['2024-11-23T10:10:52.649Z', '2024-11-23T13:25:10.217Z', '2024-11-23T13:36:13.37Z', '2024-11-23T15:44:26.979Z', '2024-11-24T03:22:23.511Z']}",501,International
72,tsuchinoko,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'Jump', 'dual_summon', 'Trillion Bank'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'crypto', 'web'], 'challenge_rank': ['206', '30', '25', '41', '55'], 'solve_time': ['2024-11-23T05:05:35.636Z', '2024-11-23T06:13:21.436Z', '2024-11-23T12:44:06.213Z', '2024-11-23T13:34:31.467Z', '2024-11-23T13:51:53.849Z']}",490,InternationalDomestic
73,Emp3ri4ns,"{'challenge_name': ['Welcome', 'packed', 'Jump', 'reiwa_rot13', 'Paragraph'], 'challenge_category': ['welcome', 'reversing', 'reversing', 'crypto', 'pwnable'], 'challenge_rank': ['409', '68', '44', '103', '54'], 'solve_time': ['2024-11-23T09:07:32.762Z', '2024-11-23T13:42:36.277Z', '2024-11-23T18:14:20.078Z', '2024-11-23T18:20:44.347Z', '2024-11-23T23:48:26.432Z']}",477,International
74,katagaitai,"{'challenge_name': ['reiwa_rot13', 'packed', 'Welcome', 'Jump', 'dual_summon'], 'challenge_category': ['crypto', 'reversing', 'welcome', 'reversing', 'crypto'], 'challenge_rank': ['82', '73', '534', '36', '52'], 'solve_time': ['2024-11-23T14:21:59.973Z', '2024-11-23T14:30:33.271Z', '2024-11-23T15:56:39.991Z', '2024-11-23T16:12:46.688Z', '2024-11-23T20:36:54.455Z']}",475,InternationalDomestic
75,ids-TeamCC,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed', 'dual_summon', 'Jump'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'crypto', 'reversing'], 'challenge_rank': ['155', '26', '53', '40', '68'], 'solve_time': ['2024-11-23T05:02:34.477Z', '2024-11-23T06:05:16.832Z', '2024-11-23T09:35:24.287Z', '2024-11-23T12:40:27.805Z', '2024-11-24T04:34:05.593Z']}",475,InternationalDomestic
76,AresX,"{'challenge_name': ['Paragraph', 'Welcome', 'packed', 'Trillion Bank', 'reiwa_rot13'], 'challenge_category': ['pwnable', 'welcome', 'reversing', 'web', 'crypto'], 'challenge_rank': ['30', '526', '88', '68', '113'], 'solve_time': ['2024-11-23T13:20:09.201Z', '2024-11-23T15:28:09.263Z', '2024-11-23T17:04:42.936Z', '2024-11-23T19:07:33.361Z', '2024-11-23T20:11:03.012Z']}",467,International
77,valgrind,"{'challenge_name': ['Welcome', 'packed', 'Paragraph', 'Trillion Bank', 'reiwa_rot13'], 'challenge_category': ['welcome', 'reversing', 'pwnable', 'web', 'crypto'], 'challenge_rank': ['569', '101', '50', '76', '123'], 'solve_time': ['2024-11-23T18:11:29.372Z', '2024-11-23T19:39:35.86Z', '2024-11-23T21:23:52.36Z', '2024-11-23T23:28:56.789Z', '2024-11-24T00:40:54.333Z']}",467,International
78,p3r0z,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",456,InternationalDomestic
79,PLUS,"{'challenge_name': ['reiwa_rot13', 'Welcome', 'Paragraph', 'Trillion Ether'], 'challenge_category': ['crypto', 'welcome', 'pwnable', 'blockchain'], 'challenge_rank': ['41', '369', '33', '15'], 'solve_time': ['2024-11-23T06:50:56.005Z', '2024-11-23T07:20:59.889Z', '2024-11-23T13:48:46.92Z', '2024-11-23T15:33:03.463Z']}",425,International
80,CLPWN,"{'challenge_name': ['Welcome', 'packed', 'Make ROP Great Again', 'Paragraph'], 'challenge_category': ['welcome', 'reversing', 'pwnable', 'pwnable'], 'challenge_rank': ['46', '42', '6', '57'], 'solve_time': ['2024-11-23T05:01:02.497Z', '2024-11-23T08:01:21.01Z', '2024-11-23T09:25:55.767Z', '2024-11-24T01:18:47.906Z']}",424,International
81,STM,"{'challenge_name': ['Welcome', 'Tanuki Udon', 'Trillion Bank', 'packed'], 'challenge_category': ['welcome', 'web', 'web', 'reversing'], 'challenge_rank': ['394', '15', '54', '76'], 'solve_time': ['2024-11-23T08:26:17.698Z', '2024-11-23T13:32:34.058Z', '2024-11-23T13:47:33.275Z', '2024-11-23T14:47:43.261Z']}",400,International
82,Tower of Hanoi,"{'challenge_name': ['free-free free', 'Welcome', 'BabyQEMU'], 'challenge_category': ['pwnable', 'welcome', 'pwnable'], 'challenge_rank': ['6', '479', '19'], 'solve_time': ['2024-11-23T11:24:38.197Z', '2024-11-23T12:22:00.065Z', '2024-11-23T14:55:19.422Z']}",395,International
83,mode13h,"{'challenge_name': ['Paragraph', 'Welcome', 'packed', 'Jump'], 'challenge_category': ['pwnable', 'welcome', 'reversing', 'reversing'], 'challenge_rank': ['48', '592', '106', '54'], 'solve_time': ['2024-11-23T20:54:05.219Z', '2024-11-23T20:54:50.049Z', '2024-11-23T20:55:15.068Z', '2024-11-23T23:13:05.322Z']}",386,International
84,CYBERSQD,"{'challenge_name': ['Welcome', 'packed', 'Jump', 'Paragraph'], 'challenge_category': ['welcome', 'reversing', 'reversing', 'pwnable'], 'challenge_rank': ['477', '99', '49', '55'], 'solve_time': ['2024-11-23T12:16:13.019Z', '2024-11-23T19:03:07.512Z', '2024-11-23T20:29:25.079Z', '2024-11-23T23:51:10.462Z']}",386,International
85,ch1b4n14n2024,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'dual_summon', 'Jump'], 'challenge_category': ['welcome', 'crypto', 'crypto', 'reversing'], 'challenge_rank': ['44', '87', '48', '57'], 'solve_time': ['2024-11-23T05:01:01.324Z', '2024-11-23T15:00:28.309Z', '2024-11-23T19:33:37.285Z', '2024-11-23T23:57:46.988Z']}",382,InternationalDomestic
86,sayonara,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'Paragraph', 'Trillion Bank'], 'challenge_category': ['welcome', 'crypto', 'pwnable', 'web'], 'challenge_rank': ['275', '73', '25', '69'], 'solve_time': ['2024-11-23T05:30:12.473Z', '2024-11-23T09:55:35.102Z', '2024-11-23T11:18:24.937Z', '2024-11-23T20:03:52.436Z']}",374,InternationalDomestic
87,joseph fan club,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",372,International
88,0nePadding,"{'challenge_name': ['packed', 'Welcome', 'Trillion Bank', 'Jump'], 'challenge_category': ['reversing', 'welcome', 'web', 'reversing'], 'challenge_rank': ['11', '321', '49', '61'], 'solve_time': ['2024-11-23T05:41:49.901Z', '2024-11-23T06:13:19.564Z', '2024-11-23T12:35:39.822Z', '2024-11-24T01:57:37.447Z']}",369,InternationalDomestic
89,WaterPaddler,"{'challenge_name': ['Welcome', 'Trillion Ether', 'BabyQEMU'], 'challenge_category': ['welcome', 'blockchain', 'pwnable'], 'challenge_rank': ['367', '5', '6'], 'solve_time': ['2024-11-23T07:13:28.586Z', '2024-11-23T08:47:07.484Z', '2024-11-23T09:34:54.802Z']}",368,International
90,Hacklava,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'Trillion Bank', 'Jump'], 'challenge_category': ['welcome', 'crypto', 'web', 'reversing'], 'challenge_rank': ['214', '12', '13', '17'], 'solve_time': ['2024-11-23T05:06:06.847Z', '2024-11-23T05:32:00.015Z', '2024-11-23T07:43:26.71Z', '2024-11-23T10:27:48.893Z']}",367,InternationalDomestic
91,Stack Hardening Integrity Team,"{'challenge_name': ['BabyQEMU', 'Welcome', 'pp4'], 'challenge_category': ['pwnable', 'welcome', 'jail'], 'challenge_rank': ['10', '537', '34'], 'solve_time': ['2024-11-23T11:14:07.232Z', '2024-11-23T16:05:37.624Z', '2024-11-24T00:13:21.944Z']}",358,International
92,Phish Paprikas,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed', 'dual_summon'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'crypto'], 'challenge_rank': ['349', '55', '77', '47'], 'solve_time': ['2024-11-23T06:47:32.746Z', '2024-11-23T07:19:36.041Z', '2024-11-23T14:54:32.66Z', '2024-11-23T18:10:44.486Z']}",357,International
93,No Identity,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed', 'Jump'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'reversing'], 'challenge_rank': ['68', '78', '80', '43'], 'solve_time': ['2024-11-23T05:01:19.61Z', '2024-11-23T12:52:28.279Z', '2024-11-23T16:08:21.773Z', '2024-11-23T18:12:39.613Z']}",352,InternationalDomestic
94,FIT CTU Team,"{'challenge_name': ['Welcome', 'packed', 'Jump', 'reiwa_rot13'], 'challenge_category': ['welcome', 'reversing', 'reversing', 'crypto'], 'challenge_rank': ['380', '57', '34', '109'], 'solve_time': ['2024-11-23T07:44:05.473Z', '2024-11-23T10:32:50.069Z', '2024-11-23T15:47:56.411Z', '2024-11-23T18:45:35.551Z']}",352,International
95,LOLZZ,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",352,International
96,inuwashi2024,"{'challenge_name': ['Welcome', 'packed', 'Jump', 'reiwa_rot13'], 'challenge_category': ['welcome', 'reversing', 'reversing', 'crypto'], 'challenge_rank': ['258', '4', '9', '122'], 'solve_time': ['2024-11-23T05:18:56.606Z', '2024-11-23T05:20:34.626Z', '2024-11-23T08:26:14.973Z', '2024-11-23T23:38:27.764Z']}",352,InternationalDomestic
97,Nakayoshi CTF Club,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'Jump', 'packed'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'reversing'], 'challenge_rank': ['210', '57', '46', '117'], 'solve_time': ['2024-11-23T05:05:58.689Z', '2024-11-23T07:34:07.758Z', '2024-11-23T19:13:11.55Z', '2024-11-24T03:26:14.473Z']}",352,InternationalDomestic
98,nicolas.duhamel@laplateforme.io,"{'challenge_name': ['reiwa_rot13', 'Welcome', 'packed', 'Jump'], 'challenge_category': ['crypto', 'welcome', 'reversing', 'reversing'], 'challenge_rank': ['69', '420', '82', '67'], 'solve_time': ['2024-11-23T09:23:01.704Z', '2024-11-23T09:27:11.518Z', '2024-11-23T16:24:07.015Z', '2024-11-24T04:10:26.042Z']}",352,International
99,Crystals,"{'challenge_name': ['reiwa_rot13', 'Welcome', 'Tidal wave'], 'challenge_category': ['crypto', 'welcome', 'crypto'], 'challenge_rank': ['36', '429', '11'], 'solve_time': ['2024-11-23T06:35:08.526Z', '2024-11-23T09:49:28.803Z', '2024-11-23T16:45:44.194Z']}",351,International
100,roaris,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed', 'Trillion Bank'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'web'], 'challenge_rank': ['22', '42', '49', '34'], 'solve_time': ['2024-11-23T05:00:25.659Z', '2024-11-23T06:52:01.349Z', '2024-11-23T09:08:57.334Z', '2024-11-23T10:33:33.835Z']}",342,InternationalDomestic
101,zwnj,"{'challenge_name': ['Welcome', 'free-free free', 'packed'], 'challenge_category': ['welcome', 'pwnable', 'reversing'], 'challenge_rank': ['325', '12', '119'], 'solve_time': ['2024-11-23T06:16:39.205Z', '2024-11-23T15:10:38.845Z', '2024-11-24T04:06:40.009Z']}",329,International
102,srdnlen,"{'challenge_name': ['Welcome', 'pp4', 'Trillion Bank'], 'challenge_category': ['welcome', 'jail', 'web'], 'challenge_rank': ['436', '22', '65'], 'solve_time': ['2024-11-23T10:03:42.87Z', '2024-11-23T16:18:21.864Z', '2024-11-23T18:44:25.252Z']}",307,International
103,TakeKitsune,"{'challenge_name': ['Welcome', 'pp4', 'packed'], 'challenge_category': ['welcome', 'jail', 'reversing'], 'challenge_rank': ['295', '9', '61'], 'solve_time': ['2024-11-23T05:50:44.134Z', '2024-11-23T09:45:39.484Z', '2024-11-23T11:39:00.422Z']}",292,International
104,m1z0r3,"{'challenge_name': ['Welcome', 'Paragraph', 'Trillion Bank'], 'challenge_category': ['welcome', 'pwnable', 'web'], 'challenge_rank': ['108', '28', '48'], 'solve_time': ['2024-11-23T05:01:42.144Z', '2024-11-23T12:08:14.856Z', '2024-11-23T12:33:10.253Z']}",283,InternationalDomestic
105,FoocHackz,"{'challenge_name': ['Welcome', 'packed', 'Paragraph'], 'challenge_category': ['welcome', 'reversing', 'pwnable'], 'challenge_rank': ['346', '65', '40'], 'solve_time': ['2024-11-23T06:44:22.808Z', '2024-11-23T12:57:36.673Z', '2024-11-23T16:06:14.859Z']}",268,International
106,trimscash,"{'challenge_name': ['Paragraph', 'Welcome', 'reiwa_rot13'], 'challenge_category': ['pwnable', 'welcome', 'crypto'], 'challenge_rank': ['22', '451', '89'], 'solve_time': ['2024-11-23T10:49:13.661Z', '2024-11-23T10:51:22.108Z', '2024-11-23T15:24:48.232Z']}",266,InternationalDomestic
107,SleepyHollow,"{'challenge_name': ['Welcome', 'Paragraph', 'reiwa_rot13'], 'challenge_category': ['welcome', 'pwnable', 'crypto'], 'challenge_rank': ['138', '41', '120'], 'solve_time': ['2024-11-23T05:02:10.625Z', '2024-11-23T17:16:37.583Z', '2024-11-23T23:08:56.633Z']}",266,International
108,Equivalent XCHG,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'Paragraph'], 'challenge_category': ['welcome', 'crypto', 'pwnable'], 'challenge_rank': ['407', '74', '58'], 'solve_time': ['2024-11-23T08:51:16.972Z', '2024-11-23T09:59:58.821Z', '2024-11-24T02:48:09.723Z']}",266,International
109,Aqua Cat,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'dual_summon'], 'challenge_category': ['welcome', 'crypto', 'crypto'], 'challenge_rank': ['3', '4', '2'], 'solve_time': ['2024-11-23T05:00:07.566Z', '2024-11-23T05:16:20.915Z', '2024-11-23T06:02:06.139Z']}",264,International
110,kunoicheese,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'dual_summon'], 'challenge_category': ['welcome', 'crypto', 'crypto'], 'challenge_rank': ['52', '20', '38'], 'solve_time': ['2024-11-23T05:01:08.175Z', '2024-11-23T05:55:55.991Z', '2024-11-23T11:54:46.112Z']}",264,InternationalDomestic
111,Aqu4r1um,"{'challenge_name': ['reiwa_rot13', 'Welcome', 'dual_summon'], 'challenge_category': ['crypto', 'welcome', 'crypto'], 'challenge_rank': ['71', '437', '42'], 'solve_time': ['2024-11-23T09:40:00.878Z', '2024-11-23T10:13:45.423Z', '2024-11-23T14:23:47.679Z']}",264,International
112,g0sSt0pka,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'dual_summon'], 'challenge_category': ['welcome', 'crypto', 'crypto'], 'challenge_rank': ['165', '80', '54'], 'solve_time': ['2024-11-23T05:02:50.3Z', '2024-11-23T13:30:34.452Z', '2024-11-23T21:19:54.664Z']}",264,International
113,SUSH1st,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'dual_summon'], 'challenge_category': ['welcome', 'crypto', 'crypto'], 'challenge_rank': ['153', '65', '58'], 'solve_time': ['2024-11-23T05:02:32.986Z', '2024-11-23T08:47:56.416Z', '2024-11-23T23:35:22.731Z']}",264,InternationalDomestic
114,LSE,"{'challenge_name': ['packed', 'Jump', 'Welcome'], 'challenge_category': ['reversing', 'reversing', 'welcome'], 'challenge_rank': ['33', '14', '519'], 'solve_time': ['2024-11-23T07:08:07.414Z', '2024-11-23T09:37:46.347Z', '2024-11-23T14:56:54.635Z']}",261,International
115,Sonvh,"{'challenge_name': ['packed', 'Jump', 'Welcome'], 'challenge_category': ['reversing', 'reversing', 'welcome'], 'challenge_rank': ['75', '48', '587'], 'solve_time': ['2024-11-23T14:41:40.855Z', '2024-11-23T20:17:14.33Z', '2024-11-23T20:32:55.74Z']}",261,International
116,TeamZAP,"{'challenge_name': ['Welcome', 'Jump', 'reiwa_rot13'], 'challenge_category': ['welcome', 'reversing', 'crypto'], 'challenge_rank': ['228', '2', '127'], 'solve_time': ['2024-11-23T05:08:20.912Z', '2024-11-23T06:45:12.811Z', '2024-11-24T04:22:00.237Z']}",259,InternationalDomestic
117,MOS168,"{'challenge_name': ['Welcome', 'Trillion Bank', 'packed'], 'challenge_category': ['welcome', 'web', 'reversing'], 'challenge_rank': ['11', '25', '91'], 'solve_time': ['2024-11-23T05:00:13.227Z', '2024-11-23T08:56:21.039Z', '2024-11-23T17:27:51.303Z']}",251,InternationalDomestic
118,YOKARO-MON,"{'challenge_name': ['Welcome', 'Trillion Bank', 'packed'], 'challenge_category': ['welcome', 'web', 'reversing'], 'challenge_rank': ['5', '43', '95'], 'solve_time': ['2024-11-23T05:00:08.681Z', '2024-11-23T11:42:18.63Z', '2024-11-23T18:09:21.955Z']}",251,InternationalDomestic
119,Hack Ravens,"{'challenge_name': ['Welcome', 'packed', 'Trillion Bank'], 'challenge_category': ['welcome', 'reversing', 'web'], 'challenge_rank': ['7', '52', '70'], 'solve_time': ['2024-11-23T05:00:10.266Z', '2024-11-23T09:27:51.685Z', '2024-11-23T20:55:19.731Z']}",251,InternationalDomestic
120,Echo,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",251,International
121,MNGA,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'Trillion Bank'], 'challenge_category': ['welcome', 'crypto', 'web'], 'challenge_rank': ['177', '53', '29'], 'solve_time': ['2024-11-23T05:03:39.574Z', '2024-11-23T07:16:51.48Z', '2024-11-23T09:42:49.934Z']}",249,International
122,Viettel Cyber Security,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'Trillion Bank'], 'challenge_category': ['welcome', 'crypto', 'web'], 'challenge_rank': ['423', '81', '67'], 'solve_time': ['2024-11-23T09:34:29.954Z', '2024-11-23T13:37:42.35Z', '2024-11-23T19:06:30.098Z']}",249,International
123,Iron Bamboo,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'Trillion Bank'], 'challenge_category': ['welcome', 'crypto', 'web'], 'challenge_rank': ['598', '116', '71'], 'solve_time': ['2024-11-23T21:53:45.245Z', '2024-11-23T21:54:33.885Z', '2024-11-23T21:55:01.216Z']}",249,International
124,uramdom,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'Trillion Bank'], 'challenge_category': ['welcome', 'crypto', 'web'], 'challenge_rank': ['94', '106', '79'], 'solve_time': ['2024-11-23T05:01:34.835Z', '2024-11-23T18:25:19.434Z', '2024-11-24T02:21:09.309Z']}",249,InternationalDomestic
125,BGCB,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",243,InternationalDomestic
126,SHAHEEN,"{'challenge_name': ['packed', 'Tanuki Udon'], 'challenge_category': ['reversing', 'web'], 'challenge_rank': ['66', '19'], 'solve_time': ['2024-11-23T13:14:42.75Z', '2024-11-23T14:41:01.217Z']}",242,International
127,gyoza_sec,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed'], 'challenge_category': ['welcome', 'crypto', 'reversing'], 'challenge_rank': ['265', '51', '48'], 'solve_time': ['2024-11-23T05:25:06.175Z', '2024-11-23T07:11:38.502Z', '2024-11-23T08:26:36.947Z']}",234,InternationalDomestic
128,15h,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed'], 'challenge_category': ['welcome', 'crypto', 'reversing'], 'challenge_rank': ['200', '67', '97'], 'solve_time': ['2024-11-23T05:05:00.958Z', '2024-11-23T09:16:53.088Z', '2024-11-23T18:32:30.631Z']}",234,InternationalDomestic
129,ELT,"{'challenge_name': ['Welcome', 'packed', 'reiwa_rot13'], 'challenge_category': ['welcome', 'reversing', 'crypto'], 'challenge_rank': ['516', '90', '111'], 'solve_time': ['2024-11-23T14:44:29.206Z', '2024-11-23T17:22:30.287Z', '2024-11-23T18:55:41.979Z']}",234,International
130,Ninth House,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",214,International
131,"End of the ""pasta""","{'challenge_name': ['Welcome', 'Make ROP Great Again'], 'challenge_category': ['welcome', 'pwnable'], 'challenge_rank': ['222', '23'], 'solve_time': ['2024-11-23T05:07:13.736Z', '2024-11-23T20:19:55.792Z']}",206,International
132,SiBears,"{'challenge_name': ['Welcome', 'Tanuki Udon'], 'challenge_category': ['welcome', 'web'], 'challenge_rank': ['374', '30'], 'solve_time': ['2024-11-23T07:26:29.368Z', '2024-11-23T19:27:45.599Z']}",199,International
133,doze,"{'challenge_name': ['Welcome', 'pp4'], 'challenge_category': ['welcome', 'jail'], 'challenge_rank': ['328', '35'], 'solve_time': ['2024-11-23T06:18:23.051Z', '2024-11-24T00:31:59.586Z']}",199,InternationalDomestic
134,Team ATTackers,"{'challenge_name': ['Welcome', 'Paragraph'], 'challenge_category': ['welcome', 'pwnable'], 'challenge_rank': ['39', '46'], 'solve_time': ['2024-11-23T05:00:57.778Z', '2024-11-23T20:07:39.049Z']}",175,InternationalDomestic
135,P3gasus,"{'challenge_name': ['Welcome', 'Jump'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['117', '12'], 'solve_time': ['2024-11-23T05:01:47.938Z', '2024-11-23T09:14:39.095Z']}",168,International
136,Nullifier,"{'challenge_name': ['Trillion Ether'], 'challenge_category': ['blockchain'], 'challenge_rank': ['3'], 'solve_time': ['2024-11-23T07:26:16.103Z']}",159,International
137,salad_var,"{'challenge_name': ['Welcome', 'Trillion Bank'], 'challenge_category': ['welcome', 'web'], 'challenge_rank': ['180', '15'], 'solve_time': ['2024-11-23T05:03:40.096Z', '2024-11-23T07:55:14.969Z']}",158,InternationalDomestic
138,Goaton,"{'challenge_name': ['Welcome', 'Trillion Bank'], 'challenge_category': ['welcome', 'web'], 'challenge_rank': ['91', '17'], 'solve_time': ['2024-11-23T05:01:32.382Z', '2024-11-23T08:01:36.858Z']}",158,InternationalDomestic
139,DOUBLE STANDARD,"{'challenge_name': ['Welcome', 'Trillion Bank'], 'challenge_category': ['welcome', 'web'], 'challenge_rank': ['194', '21'], 'solve_time': ['2024-11-23T05:04:30.854Z', '2024-11-23T08:17:12.382Z']}",158,InternationalDomestic
140,cktf9,"{'challenge_name': ['Welcome', 'Trillion Bank'], 'challenge_category': ['welcome', 'web'], 'challenge_rank': ['95', '23'], 'solve_time': ['2024-11-23T05:01:35.796Z', '2024-11-23T08:29:55.901Z']}",158,InternationalDomestic
141,tamaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",158,InternationalDomestic
142,Blue Rock,"{'challenge_name': ['Welcome', 'Trillion Bank'], 'challenge_category': ['welcome', 'web'], 'challenge_rank': ['116', '32'], 'solve_time': ['2024-11-23T05:01:47.508Z', '2024-11-23T10:21:59.051Z']}",158,International
143,No_Jungsin,"{'challenge_name': ['Trillion Bank', 'Welcome'], 'challenge_category': ['web', 'welcome'], 'challenge_rank': ['53', '505'], 'solve_time': ['2024-11-23T13:28:31.029Z', '2024-11-23T13:40:39.966Z']}",158,International
144,:R4inB0w:,"{'challenge_name': ['Welcome', 'Trillion Bank'], 'challenge_category': ['welcome', 'web'], 'challenge_rank': ['549', '72'], 'solve_time': ['2024-11-23T16:35:30.335Z', '2024-11-23T22:05:38.894Z']}",158,InternationalDomestic
145,Wade,"{'challenge_name': ['Make ROP Great Again'], 'challenge_category': ['pwnable'], 'challenge_rank': ['36'], 'solve_time': ['2024-11-24T04:26:08.632Z']}",156,International
146,PIVZAVOD,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['279', '17'], 'solve_time': ['2024-11-23T05:31:50.296Z', '2024-11-23T06:16:08.762Z']}",143,International
147,Team_Tanaka,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['185', '27'], 'solve_time': ['2024-11-23T05:03:58.16Z', '2024-11-23T06:45:59.306Z']}",143,InternationalDomestic
148,PFS,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['263', '29'], 'solve_time': ['2024-11-23T05:24:33.473Z', '2024-11-23T06:57:14.728Z']}",143,International
149,MNIK,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['202', '40'], 'solve_time': ['2024-11-23T05:05:08.391Z', '2024-11-23T07:49:18.771Z']}",143,International
150,PencilTesters,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['350', '43'], 'solve_time': ['2024-11-23T06:47:34.807Z', '2024-11-23T08:02:58.492Z']}",143,International
151,inu,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['292', '46'], 'solve_time': ['2024-11-23T05:47:52.772Z', '2024-11-23T08:19:26.039Z']}",143,InternationalDomestic
152,pancake tabetai,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['305', '50'], 'solve_time': ['2024-11-23T05:59:12.954Z', '2024-11-23T09:11:20.666Z']}",143,InternationalDomestic
153,P01TERGEIST,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['100', '51'], 'solve_time': ['2024-11-23T05:01:37.765Z', '2024-11-23T09:21:52.823Z']}",143,InternationalDomestic
154,THREAT,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['314', '56'], 'solve_time': ['2024-11-23T06:08:13.407Z', '2024-11-23T10:13:09.536Z']}",143,International
155,BreadFederation,"{'challenge_name': ['packed', 'Welcome'], 'challenge_category': ['reversing', 'welcome'], 'challenge_rank': ['58', '446'], 'solve_time': ['2024-11-23T10:39:05.157Z', '2024-11-23T10:44:05.627Z']}",143,International
156,takubokudori,"{'challenge_name': ['packed', 'Welcome'], 'challenge_category': ['reversing', 'welcome'], 'challenge_rank': ['69', '551'], 'solve_time': ['2024-11-23T13:47:51.153Z', '2024-11-23T16:44:47.974Z']}",143,InternationalDomestic
157,WreckTheLine,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['284', '86'], 'solve_time': ['2024-11-23T05:36:06.383Z', '2024-11-23T16:44:59.865Z']}",143,International
158,chp0ck3r$,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['503', '94'], 'solve_time': ['2024-11-23T13:37:45.203Z', '2024-11-23T18:09:01.148Z']}",143,International
