name,score,challenges
BinaryOps,453,"{'challenge_name': ['Secure Shell', 'World Wide Flags', 'Bongcloud', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Beginners', 'Miscellaneous', 'Miscellaneous', 'Beginners', 'Miscellaneous'], 'challenge_points': ['50', '150', '153', '50', '50'], 'solve_time': ['December 1st, 4:34:48 PM', 'December 1st, 12:41:05 PM', 'December 1st, 10:42:29 AM', 'November 30th, 5:48:39 PM', 'November 30th, 5:35:56 PM']}"
GSCC,453,"{'challenge_name': ['Secure Shell', 'Bongcloud', 'World Wide Flags', 'Sanity Check', 'Simpler RSA'], 'challenge_category': ['Beginners', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Beginners'], 'challenge_points': ['50', '153', '150', '50', '50'], 'solve_time': ['December 1st, 4:57:01 PM', 'November 30th, 9:04:19 PM', 'November 30th, 7:24:27 PM', 'November 30th, 6:08:38 PM', 'November 30th, 5:33:47 PM']}"
Chinchila,451,"{'challenge_name': ['Secure Shell', 'Just Lattice', 'Simpler RSA'], 'challenge_category': ['Beginners', 'Cryptography', 'Beginners'], 'challenge_points': ['50', '351', '50'], 'solve_time': ['December 1st, 6:12:59 AM', 'December 1st, 6:04:31 AM', 'November 30th, 5:42:41 PM']}"
0x000sd,450,"{'challenge_name': ['Too Hidden', 'World Wide Flags', 'Secure Shell', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Forensics', 'Miscellaneous', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '150', '50', '50', '50'], 'solve_time': ['December 1st, 11:21:12 AM', 'December 1st, 6:00:19 AM', 'November 30th, 9:16:03 PM', 'November 30th, 5:45:54 PM', 'November 30th, 5:34:54 PM']}"
blupper,436,"{'challenge_name': ['Modnar'], 'challenge_category': ['Cryptography'], 'challenge_points': ['436'], 'solve_time': ['November 30th, 7:14:02 PM']}"
noob_chess_players,428,"{'challenge_name': ['Too Hidden', 'All your base are belong to us', 'Forgot Password', 'Sanity Check'], 'challenge_category': ['Forensics', 'Beginners', 'Forensics', 'Miscellaneous'], 'challenge_points': ['150', '65', '163', '50'], 'solve_time': ['November 30th, 9:41:19 PM', 'November 30th, 6:53:24 PM', 'November 30th, 6:22:07 PM', 'November 30th, 5:46:44 PM']}"
HackNch!ll,423,"{'challenge_name': ['Forgot Password', 'WhiteRabbit', 'All your base are belong to us', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Forensics', 'Beginners', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['163', '95', '65', '50', '50'], 'solve_time': ['November 30th, 9:00:51 PM', 'November 30th, 6:14:28 PM', 'November 30th, 5:56:58 PM', 'November 30th, 5:54:37 PM', 'November 30th, 5:44:50 PM']}"
Bit&Byte,418,"{'challenge_name': ['Bongcloud', 'World Wide Flags', 'Simpler RSA', 'All your base are belong to us'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Beginners', 'Beginners'], 'challenge_points': ['153', '150', '50', '65'], 'solve_time': ['December 1st, 2:28:59 AM', 'November 30th, 9:47:50 PM', 'November 30th, 7:51:15 PM', 'November 30th, 7:17:07 PM']}"
Wh@t1s0urN@me?,413,"{'challenge_name': ['Too Hidden', 'Forgot Password', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Forensics', 'Forensics', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '163', '50', '50'], 'solve_time': ['December 1st, 7:48:00 AM', 'November 30th, 8:38:53 PM', 'November 30th, 6:13:48 PM', 'November 30th, 5:31:43 PM']}"
RedHazzarTeam,413,"{'challenge_name': ['Too Hidden', 'Secure Shell', 'Forgot Password', 'Simpler RSA'], 'challenge_category': ['Forensics', 'Beginners', 'Forensics', 'Beginners'], 'challenge_points': ['150', '50', '163', '50'], 'solve_time': ['December 1st, 8:30:29 AM', 'December 1st, 2:58:13 AM', 'November 30th, 9:09:40 PM', 'November 30th, 5:40:50 PM']}"
b01lers,413,"{'challenge_name': ['Too Hidden', 'epsilonDH', 'Secure Shell'], 'challenge_category': ['Forensics', 'Cryptography', 'Beginners'], 'challenge_points': ['150', '213', '50'], 'solve_time': ['December 1st, 9:43:04 AM', 'December 1st, 9:12:15 AM', 'December 1st, 12:22:00 AM']}"
Martial_Law_Enforcer,413,"{'challenge_name': ['Forgot Password', 'Secure Shell', 'Too Hidden', 'Simpler RSA'], 'challenge_category': ['Forensics', 'Beginners', 'Forensics', 'Beginners'], 'challenge_points': ['163', '50', '150', '50'], 'solve_time': ['December 1st, 12:09:53 PM', 'December 1st, 12:01:47 PM', 'December 1st, 11:02:53 AM', 'December 1st, 10:39:25 AM']}"
КапибарыCTF,413,"{'challenge_name': ['Simpler RSA', 'Sanity Check', 'Too Hidden', 'Forgot Password'], 'challenge_category': ['Beginners', 'Miscellaneous', 'Forensics', 'Forensics'], 'challenge_points': ['50', '50', '150', '163'], 'solve_time': ['December 1st, 3:18:00 PM', 'December 1st, 1:20:21 AM', 'December 1st, 12:14:53 AM', 'November 30th, 11:20:29 PM']}"
图书馆五楼风很大,413,"{'challenge_name': ['Simpler RSA', 'Forgot Password', 'Too Hidden', 'Sanity Check'], 'challenge_category': ['Beginners', 'Forensics', 'Forensics', 'Miscellaneous'], 'challenge_points': ['50', '163', '150', '50'], 'solve_time': ['December 1st, 4:09:57 PM', 'December 1st, 11:54:19 AM', 'December 1st, 10:52:30 AM', 'November 30th, 8:07:47 PM']}"
acdwas,404,"{'challenge_name': ['Flag Checker'], 'challenge_category': ['Reverse Engineering'], 'challenge_points': ['404'], 'solve_time': ['December 1st, 2:58:57 AM']}"
WeAre,404,"{'challenge_name': ['Flag Checker'], 'challenge_category': ['Reverse Engineering'], 'challenge_points': ['404'], 'solve_time': ['December 1st, 9:14:39 AM']}"
r3d4c73d,403,"{'challenge_name': ['Bongcloud', 'Secure Shell', 'World Wide Flags', 'Sanity Check'], 'challenge_category': ['Miscellaneous', 'Beginners', 'Miscellaneous', 'Miscellaneous'], 'challenge_points': ['153', '50', '150', '50'], 'solve_time': ['November 30th, 11:17:10 PM', 'November 30th, 10:10:18 PM', 'November 30th, 9:56:10 PM', 'November 30th, 5:31:07 PM']}"
NEURAL NAVIGATORS,403,"{'challenge_name': ['World Wide Flags', 'Bongcloud', 'Sanity Check', 'Simpler RSA'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Beginners'], 'challenge_points': ['150', '153', '50', '50'], 'solve_time': ['December 1st, 2:55:46 PM', 'November 30th, 9:24:05 PM', 'November 30th, 8:04:48 PM', 'November 30th, 6:04:08 PM']}"
Bombastic Boys,400,"{'challenge_name': ['Too Hidden', 'Simpler RSA', 'Sanity Check', 'World Wide Flags'], 'challenge_category': ['Forensics', 'Beginners', 'Miscellaneous', 'Miscellaneous'], 'challenge_points': ['150', '50', '50', '150'], 'solve_time': ['December 1st, 1:30:27 AM', 'December 1st, 12:09:33 AM', 'November 30th, 10:32:26 PM', 'November 30th, 9:11:31 PM']}"
keva,400,"{'challenge_name': ['World Wide Flags', 'Simpler RSA', 'Too Hidden', 'Sanity Check'], 'challenge_category': ['Miscellaneous', 'Beginners', 'Forensics', 'Miscellaneous'], 'challenge_points': ['150', '50', '150', '50'], 'solve_time': ['December 1st, 12:27:17 PM', 'December 1st, 11:52:22 AM', 'December 1st, 10:47:31 AM', 'November 30th, 9:13:06 PM']}"
shtruls,398,"{'challenge_name': ['To the sky'], 'challenge_category': ['OSINT'], 'challenge_points': ['398'], 'solve_time': ['November 30th, 8:50:16 PM']}"
Anencephalous,398,"{'challenge_name': ['To the sky'], 'challenge_category': ['OSINT'], 'challenge_points': ['398'], 'solve_time': ['November 30th, 9:31:04 PM']}"
Siuuuuuuu,398,"{'challenge_name': ['To the sky'], 'challenge_category': ['OSINT'], 'challenge_points': ['398'], 'solve_time': ['November 30th, 9:50:33 PM']}"
5yn0us14,395,"{'challenge_name': ['Too Hidden', 'Secure Shell', 'WhiteRabbit', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Forensics', 'Beginners', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '50', '95', '50', '50'], 'solve_time': ['November 30th, 10:04:37 PM', 'November 30th, 9:44:04 PM', 'November 30th, 8:50:05 PM', 'November 30th, 5:56:01 PM', 'November 30th, 5:30:07 PM']}"
MCS,381,"{'challenge_name': ['All your base are belong to us', 'Reverb'], 'challenge_category': ['Beginners', 'Pwn'], 'challenge_points': ['65', '316'], 'solve_time': ['December 1st, 5:25:56 AM', 'December 1st, 2:26:54 AM']}"
siMİTciler,378,"{'challenge_name': ['Secure Shell', 'All your base are belong to us', 'Sanity Check', 'Forgot Password', 'Simpler RSA'], 'challenge_category': ['Beginners', 'Beginners', 'Miscellaneous', 'Forensics', 'Beginners'], 'challenge_points': ['50', '65', '50', '163', '50'], 'solve_time': ['November 30th, 8:41:27 PM', 'November 30th, 7:53:07 PM', 'November 30th, 7:12:26 PM', 'November 30th, 6:35:49 PM', 'November 30th, 5:49:22 PM']}"
amyglan,373,"{'challenge_name': ['Buffer Brawl', 'WhiteRabbit', 'Simpler RSA'], 'challenge_category': ['Pwn', 'Beginners', 'Beginners'], 'challenge_points': ['228', '95', '50'], 'solve_time': ['November 30th, 8:42:28 PM', 'November 30th, 7:22:59 PM', 'November 30th, 5:50:09 PM']}"
R41N1SM,372,"{'challenge_name': ['Simpler RSA', 'Bulletproof', 'Sanity Check', 'All your base are belong to us'], 'challenge_category': ['Beginners', 'OSINT', 'Miscellaneous', 'Beginners'], 'challenge_points': ['50', '207', '50', '65'], 'solve_time': ['December 1st, 10:11:55 AM', 'December 1st, 9:07:32 AM', 'November 30th, 10:25:07 PM', 'November 30th, 9:16:01 PM']}"
N2L,372,"{'challenge_name': ['Bulletproof', 'All your base are belong to us', 'Sanity Check', 'Simpler RSA'], 'challenge_category': ['OSINT', 'Beginners', 'Miscellaneous', 'Beginners'], 'challenge_points': ['207', '65', '50', '50'], 'solve_time': ['December 1st, 1:42:26 PM', 'December 1st, 10:25:05 AM', 'November 30th, 8:25:59 PM', 'November 30th, 5:45:09 PM']}"
charlie +rwx /mshp/team,368,"{'challenge_name': ['Bongcloud', 'Secure Shell', 'Sanity Check', 'All your base are belong to us', 'Simpler RSA'], 'challenge_category': ['Miscellaneous', 'Beginners', 'Miscellaneous', 'Beginners', 'Beginners'], 'challenge_points': ['153', '50', '50', '65', '50'], 'solve_time': ['November 30th, 9:03:24 PM', 'November 30th, 8:39:57 PM', 'November 30th, 6:08:57 PM', 'November 30th, 6:03:25 PM', 'November 30th, 6:00:29 PM']}"
0xWinz,365,"{'challenge_name': ['Secure Shell', 'Simpler RSA', 'All your base are belong to us', 'World Wide Flags', 'Sanity Check'], 'challenge_category': ['Beginners', 'Beginners', 'Beginners', 'Miscellaneous', 'Miscellaneous'], 'challenge_points': ['50', '50', '65', '150', '50'], 'solve_time': ['November 30th, 9:31:21 PM', 'November 30th, 7:09:21 PM', 'November 30th, 7:03:50 PM', 'November 30th, 6:41:09 PM', 'November 30th, 5:46:12 PM']}"
sicada,365,"{'challenge_name': ['Secure Shell', 'World Wide Flags', 'Simpler RSA', 'Sanity Check', 'All your base are belong to us'], 'challenge_category': ['Beginners', 'Miscellaneous', 'Beginners', 'Miscellaneous', 'Beginners'], 'challenge_points': ['50', '150', '50', '50', '65'], 'solve_time': ['November 30th, 10:21:57 PM', 'November 30th, 9:00:56 PM', 'November 30th, 7:32:34 PM', 'November 30th, 6:41:55 PM', 'November 30th, 6:38:33 PM']}"
Meoverflow,365,"{'challenge_name': ['World Wide Flags', 'Sanity Check', 'Secure Shell', 'All your base are belong to us', 'Simpler RSA'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Beginners', 'Beginners', 'Beginners'], 'challenge_points': ['150', '50', '50', '65', '50'], 'solve_time': ['November 30th, 10:59:26 PM', 'November 30th, 9:58:04 PM', 'November 30th, 9:52:33 PM', 'November 30th, 7:53:52 PM', 'November 30th, 6:18:59 PM']}"
T.U.S.K,365,"{'challenge_name': ['All your base are belong to us', 'Too Hidden', 'Secure Shell', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Beginners', 'Forensics', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['65', '150', '50', '50', '50'], 'solve_time': ['November 30th, 11:44:26 PM', 'November 30th, 11:06:38 PM', 'November 30th, 10:37:11 PM', 'November 30th, 5:40:36 PM', 'November 30th, 5:35:51 PM']}"
mirrorsDecrypted,365,"{'challenge_name': ['Secure Shell', 'World Wide Flags', 'All your base are belong to us', 'Sanity Check', 'Simpler RSA'], 'challenge_category': ['Beginners', 'Miscellaneous', 'Beginners', 'Miscellaneous', 'Beginners'], 'challenge_points': ['50', '150', '65', '50', '50'], 'solve_time': ['December 1st, 3:56:49 PM', 'December 1st, 12:16:17 AM', 'November 30th, 6:43:06 PM', 'November 30th, 6:20:41 PM', 'November 30th, 5:42:26 PM']}"
c0nrad,363,"{'challenge_name': ['Guessy CTF Solver'], 'challenge_category': ['Web Exploitation'], 'challenge_points': ['363'], 'solve_time': ['November 30th, 11:39:17 PM']}"
0d331d4c2b067ccf691cb1ce0422d883,363,"{'challenge_name': ['Guessy CTF Solver'], 'challenge_category': ['Web Exploitation'], 'challenge_points': ['363'], 'solve_time': ['December 1st, 5:07:04 AM']}"
tc,363,"{'challenge_name': ['Guessy CTF Solver'], 'challenge_category': ['Web Exploitation'], 'challenge_points': ['363'], 'solve_time': ['December 1st, 9:06:29 AM']}"
Iron Bamboo,363,"{'challenge_name': ['WhiteRabbit', 'Bongcloud', 'All your base are belong to us', 'Simpler RSA'], 'challenge_category': ['Beginners', 'Miscellaneous', 'Beginners', 'Beginners'], 'challenge_points': ['95', '153', '65', '50'], 'solve_time': ['December 1st, 12:13:12 PM', 'November 30th, 10:58:28 PM', 'November 30th, 6:20:11 PM', 'November 30th, 6:14:59 PM']}"
Kornpong_citc,363,"{'challenge_name': ['Guessy CTF Solver'], 'challenge_category': ['Web Exploitation'], 'challenge_points': ['363'], 'solve_time': ['December 1st, 2:07:11 PM']}"
SQLi Enjoyer,353,"{'challenge_name': ['Bongcloud', 'Too Hidden', 'Secure Shell'], 'challenge_category': ['Miscellaneous', 'Forensics', 'Beginners'], 'challenge_points': ['153', '150', '50'], 'solve_time': ['November 30th, 10:48:18 PM', 'November 30th, 10:22:00 PM', 'November 30th, 8:52:44 PM']}"
siark,353,"{'challenge_name': ['Bongcloud', 'World Wide Flags', 'Sanity Check'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Miscellaneous'], 'challenge_points': ['153', '150', '50'], 'solve_time': ['December 1st, 1:34:01 PM', 'November 30th, 7:34:03 PM', 'November 30th, 6:42:05 PM']}"
TuxPwners,328,"{'challenge_name': ['Forgot Password', 'All your base are belong to us', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Forensics', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['163', '65', '50', '50'], 'solve_time': ['November 30th, 8:24:11 PM', 'November 30th, 7:15:35 PM', 'November 30th, 7:06:07 PM', 'November 30th, 6:58:35 PM']}"
GGDOTCOM,328,"{'challenge_name': ['Forgot Password', 'Simpler RSA', 'All your base are belong to us', 'Sanity Check'], 'challenge_category': ['Forensics', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['163', '50', '65', '50'], 'solve_time': ['December 1st, 2:26:58 PM', 'December 1st, 1:21:33 PM', 'December 1st, 8:37:34 AM', 'November 30th, 5:42:20 PM']}"
ICE,328,"{'challenge_name': ['Sanity Check', 'Forgot Password', 'All your base are belong to us', 'Simpler RSA'], 'challenge_category': ['Miscellaneous', 'Forensics', 'Beginners', 'Beginners'], 'challenge_points': ['50', '163', '65', '50'], 'solve_time': ['December 1st, 5:15:43 PM', 'December 1st, 3:25:04 PM', 'December 1st, 3:15:16 PM', 'December 1st, 3:08:02 PM']}"
SelfBuiltTrash,318,"{'challenge_name': ['Bongcloud', 'Sanity Check', 'Secure Shell', 'All your base are belong to us'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Beginners', 'Beginners'], 'challenge_points': ['153', '50', '50', '65'], 'solve_time': ['December 1st, 9:04:00 AM', 'December 1st, 6:25:01 AM', 'December 1st, 4:15:17 AM', 'December 1st, 2:21:51 AM']}"
thejuggler,315,"{'challenge_name': ['Too Hidden', 'All your base are belong to us', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Forensics', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '65', '50', '50'], 'solve_time': ['December 1st, 1:39:21 PM', 'November 30th, 8:30:22 PM', 'November 30th, 6:29:09 PM', 'November 30th, 5:58:58 PM']}"
zeqzoq,315,"{'challenge_name': ['Too Hidden', 'Sanity Check', 'All your base are belong to us', 'Simpler RSA'], 'challenge_category': ['Forensics', 'Miscellaneous', 'Beginners', 'Beginners'], 'challenge_points': ['150', '50', '65', '50'], 'solve_time': ['December 1st, 2:49:27 PM', 'December 1st, 1:11:08 PM', 'December 1st, 12:30:10 PM', 'December 1st, 12:03:35 PM']}"
Cyb3rPr1s0n,313,"{'challenge_name': ['Simpler RSA', 'Secure Shell', 'Forgot Password', 'Sanity Check'], 'challenge_category': ['Beginners', 'Beginners', 'Forensics', 'Miscellaneous'], 'challenge_points': ['50', '50', '163', '50'], 'solve_time': ['November 30th, 9:49:11 PM', 'November 30th, 8:32:39 PM', 'November 30th, 7:31:40 PM', 'November 30th, 5:36:52 PM']}"
gà_rừng,313,"{'challenge_name': ['Too Hidden', 'Forgot Password'], 'challenge_category': ['Forensics', 'Forensics'], 'challenge_points': ['150', '163'], 'solve_time': ['November 30th, 9:51:27 PM', 'November 30th, 5:42:26 PM']}"
D.O.T,313,"{'challenge_name': ['Sanity Check', 'Simpler RSA', 'epsilonDH'], 'challenge_category': ['Miscellaneous', 'Beginners', 'Cryptography'], 'challenge_points': ['50', '50', '213'], 'solve_time': ['December 1st, 2:37:04 AM', 'December 1st, 2:32:58 AM', 'December 1st, 2:26:40 AM']}"
porrettenbande,313,"{'challenge_name': ['epsilonDH', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Cryptography', 'Beginners', 'Miscellaneous'], 'challenge_points': ['213', '50', '50'], 'solve_time': ['December 1st, 4:45:17 AM', 'December 1st, 2:44:51 AM', 'November 30th, 6:49:13 PM']}"
Dotrongtam4321@gmail.com,313,"{'challenge_name': ['Too Hidden', 'Forgot Password'], 'challenge_category': ['Forensics', 'Forensics'], 'challenge_points': ['150', '163'], 'solve_time': ['December 1st, 11:39:38 AM', 'November 30th, 6:00:40 PM']}"
fsoci4ty,313,"{'challenge_name': ['epsilonDH', 'Secure Shell', 'Simpler RSA'], 'challenge_category': ['Cryptography', 'Beginners', 'Beginners'], 'challenge_points': ['213', '50', '50'], 'solve_time': ['December 1st, 4:09:35 PM', 'December 1st, 3:35:32 PM', 'December 1st, 3:30:54 PM']}"
Corax,310,"{'challenge_name': ['Sanity Check', 'WhiteRabbit', 'Secure Shell', 'All your base are belong to us', 'Simpler RSA'], 'challenge_category': ['Miscellaneous', 'Beginners', 'Beginners', 'Beginners', 'Beginners'], 'challenge_points': ['50', '95', '50', '65', '50'], 'solve_time': ['December 1st, 4:35:15 AM', 'December 1st, 4:33:01 AM', 'November 30th, 9:19:55 PM', 'November 30th, 9:03:10 PM', 'November 30th, 9:00:52 PM']}"
CYberMouflons,307,"{'challenge_name': ['Sanity Check', 'Secure Shell', 'Bulletproof'], 'challenge_category': ['Miscellaneous', 'Beginners', 'OSINT'], 'challenge_points': ['50', '50', '207'], 'solve_time': ['December 1st, 1:34:24 AM', 'December 1st, 1:05:19 AM', 'November 30th, 11:40:12 PM']}"
dfoo,307,"{'challenge_name': ['Secure Shell', 'Bulletproof', 'Sanity Check'], 'challenge_category': ['Beginners', 'OSINT', 'Miscellaneous'], 'challenge_points': ['50', '207', '50'], 'solve_time': ['December 1st, 2:10:40 AM', 'December 1st, 2:08:42 AM', 'November 30th, 9:16:26 PM']}"
Cyber Billikens,307,"{'challenge_name': ['Sanity Check', 'Simpler RSA', 'Bulletproof'], 'challenge_category': ['Miscellaneous', 'Beginners', 'OSINT'], 'challenge_points': ['50', '50', '207'], 'solve_time': ['December 1st, 3:53:23 AM', 'December 1st, 3:37:54 AM', 'December 1st, 2:13:30 AM']}"
SCSU Lone Husky,307,"{'challenge_name': ['Bulletproof', 'Secure Shell', 'Sanity Check'], 'challenge_category': ['OSINT', 'Beginners', 'Miscellaneous'], 'challenge_points': ['207', '50', '50'], 'solve_time': ['December 1st, 4:17:48 PM', 'December 1st, 3:47:07 PM', 'November 30th, 5:36:10 PM']}"
ABU,303,"{'challenge_name': ['Bongcloud', 'Secure Shell', 'Sanity Check', 'Simpler RSA'], 'challenge_category': ['Miscellaneous', 'Beginners', 'Miscellaneous', 'Beginners'], 'challenge_points': ['153', '50', '50', '50'], 'solve_time': ['November 30th, 10:22:22 PM', 'November 30th, 8:20:21 PM', 'November 30th, 6:50:37 PM', 'November 30th, 6:46:46 PM']}"
C1ph3r-Sh4d0w5,303,"{'challenge_name': ['Secure Shell', 'Bongcloud', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Beginners', 'Miscellaneous', 'Beginners', 'Miscellaneous'], 'challenge_points': ['50', '153', '50', '50'], 'solve_time': ['December 1st, 5:49:43 AM', 'November 30th, 9:02:21 PM', 'November 30th, 6:24:01 PM', 'November 30th, 5:40:09 PM']}"
211/212,303,"{'challenge_name': ['Sanity Check', 'Bongcloud', 'Secure Shell', 'Simpler RSA'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Beginners', 'Beginners'], 'challenge_points': ['50', '153', '50', '50'], 'solve_time': ['December 1st, 2:25:59 PM', 'December 1st, 10:25:28 AM', 'November 30th, 9:03:00 PM', 'November 30th, 5:46:55 PM']}"
linganguli guli guli,302,"{'challenge_name': ['Bulletproof', 'WhiteRabbit'], 'challenge_category': ['OSINT', 'Beginners'], 'challenge_points': ['207', '95'], 'solve_time': ['December 1st, 5:37:56 AM', 'November 30th, 7:34:10 PM']}"
vastzero,300,"{'challenge_name': ['Secure Shell', 'World Wide Flags', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Beginners', 'Miscellaneous', 'Beginners', 'Miscellaneous'], 'challenge_points': ['50', '150', '50', '50'], 'solve_time': ['November 30th, 8:28:29 PM', 'November 30th, 8:17:40 PM', 'November 30th, 7:14:08 PM', 'November 30th, 6:47:46 PM']}"
Fr33d0mM@n,300,"{'challenge_name': ['World Wide Flags', 'Too Hidden'], 'challenge_category': ['Miscellaneous', 'Forensics'], 'challenge_points': ['150', '150'], 'solve_time': ['December 1st, 1:12:19 PM', 'November 30th, 10:18:38 PM']}"
andser612345,274,"{'challenge_name': ['Rust Containment'], 'challenge_category': ['Beginners'], 'challenge_points': ['274'], 'solve_time': ['November 30th, 6:02:05 PM']}"
Seeking Alpha,265,"{'challenge_name': ['World Wide Flags', 'All your base are belong to us', 'Sanity Check'], 'challenge_category': ['Miscellaneous', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '65', '50'], 'solve_time': ['November 30th, 11:38:48 PM', 'November 30th, 8:12:39 PM', 'November 30th, 7:03:58 PM']}"
Los Calepinos,263,"{'challenge_name': ['epsilonDH', 'Secure Shell'], 'challenge_category': ['Cryptography', 'Beginners'], 'challenge_points': ['213', '50'], 'solve_time': ['November 30th, 10:16:38 PM', 'November 30th, 10:01:52 PM']}"
305,263,"{'challenge_name': ['Forgot Password', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Forensics', 'Beginners', 'Miscellaneous'], 'challenge_points': ['163', '50', '50'], 'solve_time': ['November 30th, 11:36:30 PM', 'November 30th, 6:39:48 PM', 'November 30th, 6:38:09 PM']}"
fedteam@mtu,263,"{'challenge_name': ['epsilonDH', 'Simpler RSA'], 'challenge_category': ['Cryptography', 'Beginners'], 'challenge_points': ['213', '50'], 'solve_time': ['December 1st, 8:48:57 AM', 'December 1st, 7:40:50 AM']}"
hacker_mu_kepi,263,"{'challenge_name': ['epsilonDH', 'Simpler RSA'], 'challenge_category': ['Cryptography', 'Beginners'], 'challenge_points': ['213', '50'], 'solve_time': ['December 1st, 1:56:07 PM', 'November 30th, 8:54:59 PM']}"
C1PHN3X,263,"{'challenge_name': ['Simpler RSA', 'Forgot Password', 'Sanity Check'], 'challenge_category': ['Beginners', 'Forensics', 'Miscellaneous'], 'challenge_points': ['50', '163', '50'], 'solve_time': ['December 1st, 4:43:15 PM', 'November 30th, 7:39:37 PM', 'November 30th, 6:38:03 PM']}"
Fdxbrghax,257,"{'challenge_name': ['Sanity Check', 'Bulletproof'], 'challenge_category': ['Miscellaneous', 'OSINT'], 'challenge_points': ['50', '207'], 'solve_time': ['December 1st, 4:53:00 AM', 'December 1st, 12:35:19 AM']}"
TurlteHat,253,"{'challenge_name': ['Secure Shell', 'Bongcloud', 'Simpler RSA'], 'challenge_category': ['Beginners', 'Miscellaneous', 'Beginners'], 'challenge_points': ['50', '153', '50'], 'solve_time': ['November 30th, 8:42:38 PM', 'November 30th, 7:59:44 PM', 'November 30th, 6:31:30 PM']}"
R Team,253,"{'challenge_name': ['Bongcloud', 'Secure Shell', 'Sanity Check'], 'challenge_category': ['Miscellaneous', 'Beginners', 'Miscellaneous'], 'challenge_points': ['153', '50', '50'], 'solve_time': ['November 30th, 10:42:00 PM', 'November 30th, 7:55:01 PM', 'November 30th, 6:22:12 PM']}"
1nf1n1ty_recruits,253,"{'challenge_name': ['Bongcloud', 'Sanity Check', 'Simpler RSA'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Beginners'], 'challenge_points': ['153', '50', '50'], 'solve_time': ['November 30th, 11:53:56 PM', 'November 30th, 6:32:27 PM', 'November 30th, 5:56:18 PM']}"
Sea~,253,"{'challenge_name': ['Bongcloud', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Miscellaneous', 'Beginners', 'Miscellaneous'], 'challenge_points': ['153', '50', '50'], 'solve_time': ['December 1st, 5:26:38 PM', 'December 1st, 4:43:02 PM', 'November 30th, 5:44:25 PM']}"
HashedBrown,250,"{'challenge_name': ['World Wide Flags', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Miscellaneous', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '50', '50'], 'solve_time': ['November 30th, 8:12:47 PM', 'November 30th, 6:52:56 PM', 'November 30th, 6:45:21 PM']}"
NULL%00BYTE,250,"{'challenge_name': ['World Wide Flags', 'Sanity Check', 'Simpler RSA'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Beginners'], 'challenge_points': ['150', '50', '50'], 'solve_time': ['November 30th, 8:27:58 PM', 'November 30th, 6:57:34 PM', 'November 30th, 5:44:51 PM']}"
FLOS,250,"{'challenge_name': ['World Wide Flags', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Miscellaneous', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '50', '50'], 'solve_time': ['November 30th, 11:10:38 PM', 'November 30th, 5:49:22 PM', 'November 30th, 5:43:41 PM']}"
kirmene ja3bassa,250,"{'challenge_name': ['Secure Shell', 'Too Hidden', 'Simpler RSA'], 'challenge_category': ['Beginners', 'Forensics', 'Beginners'], 'challenge_points': ['50', '150', '50'], 'solve_time': ['November 30th, 11:49:56 PM', 'November 30th, 10:57:36 PM', 'November 30th, 10:27:01 PM']}"
