,Team,Challenges
56,D.O.T,"{'challenge_name': ['Sanity check', 'ISA 101', ""Where's the APT Attack (1)"", 'New Free Lunch', 'Almost DSA', 'Baby Cracker', 'Get Flag Yourself', 'RSA LCG (0)', 'ChatGGT (1)', 'Void', 'Yet another crackme', 'Flag hasher', 'Pigeon Post (1)', 'Webpage to PDF (1)', 'Morph', 'Feedback', 'My Lovely Cats', 'B6ACP', 'Cook book'], 'challenge_points': ['10', '200', '150', '100', '100', '100', '50', '100', '100', '100', '100', '100', '100', '150', '300', '10', '200', '100', '250'], 'challenge_score': '2320'}"
57,G04T3DP30PL3,"{'challenge_name': ['Get Flag Yourself', 'New Free Lunch', 'Baby Cracker', 'ChatGGT (1)', 'Sanity check', 'Almost DSA', 'ISA 101', 'RSA LCG (0)', 'Void', 'Yet another crackme', 'Pigeon Post (1)', 'Cyp.ress', 'Flag hasher', 'ISH (1)', 'Shellcode Runner 3', 'Shellcode Runner 3 Revenge', 'RSA LCG (1)'], 'challenge_points': ['50', '100', '100', '100', '10', '100', '200', '100', '100', '100', '100', '200', '100', '200', '300', '150', '300'], 'challenge_score': '2310'}"
58,_DOBBY_IS_FREE_,"{'challenge_name': ['Custom Web Server (1)', 'Postfix expression calculator', 'Sanity check', 'ChatGGT (1)', 'Baby Cracker', 'New Free Lunch', 'Get Flag Yourself', 'One Way Room', ""Where's the APT Attack (1)"", 'Morph', 'My Lovely Cats', 'Void', 'Shellcode Runner 3', 'Flag hasher', 'Yet another crackme', 'Webpage to PDF (1)'], 'challenge_points': ['150', '220', '10', '100', '100', '100', '50', '150', '150', '300', '200', '100', '300', '100', '100', '150'], 'challenge_score': '2280'}"
59,T0075 - Jeff's Team,"{'challenge_name': [""Where's the APT Attack (1)"", 'Sanity check', 'New Free Lunch', 'Baby Cracker', 'ChatGGT (1)', 'Get Flag Yourself', 'RSA LCG (0)', 'ISA 101', 'Void', 'Yet another crackme', 'Cyp.ress', 'Webpage to PDF (1)', 'Flag hasher', 'Pigeon Post (1)', 'B6ACP', 'Feedback', 'My Lovely Cats', 'ISH (1)', 'Hearing Check', 'Almost DSA'], 'challenge_points': ['150', '10', '100', '100', '100', '50', '100', '200', '100', '100', '200', '150', '100', '100', '100', '10', '200', '200', '100', '100'], 'challenge_score': '2270'}"
60,wgpsec,"{'challenge_name': ['New Free Lunch', 'Sanity check', ""Where's the APT Attack (1)"", 'ChatGGT (1)', 'Webpage to PDF (1)', 'Flag hasher', 'B6ACP', 'Custom Web Server (1)', 'Baby Cracker', 'Yet another crackme', 'Pigeon Post (2)', ""Mystiz's Mini CTF (2)"", 'Feedback', 'Get Flag Yourself', 'ISA 101', 'Void', 'Morph', 'ISH (1)'], 'challenge_points': ['100', '10', '150', '100', '150', '100', '100', '150', '100', '100', '250', '100', '10', '50', '200', '100', '300', '200'], 'challenge_score': '2270'}"
61,Lorem Ipsec,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'RSA LCG (0)', 'Cyp.ress', 'Pigeon Post (1)', 'Void', 'Yet another crackme', 'ISA 101', 'Baby Cracker', 'Webpage to PDF (1)', 'Almost DSA', 'Hearing Check', 'My Lovely Cats', 'Flag Checker', 'Flag hasher', 'Feedback', 'ChatGGT (1)', 'Custom Web Server (1)'], 'challenge_points': ['10', '100', '50', '100', '200', '100', '100', '100', '200', '100', '150', '100', '100', '200', '200', '100', '10', '100', '150'], 'challenge_score': '2170'}"
62,O0103 - Aussie Wildlife,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'Pigeon Post (1)', 'Void', 'Hearing Check', ""Mystiz's Mini CTF (2)"", 'Webpage to PDF (1)', 'Jane Streak Amateurs', 'My Lovely Cats', 'B6ACP', 'ChatGGT (1)', 'ISA 101', 'Flag hasher', 'Baby Cracker', 'Cook book', 'Feedback', ""Where's the APT Attack (1)"", 'Yet another crackme'], 'challenge_points': ['10', '100', '50', '100', '100', '100', '100', '150', '150', '200', '100', '100', '200', '100', '100', '250', '10', '150', '100'], 'challenge_score': '2170'}"
63,S0018 - St. Louis School,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'Baby Cracker', 'Custom Web Server (1)', 'Webpage to PDF (1)', 'RSA LCG (0)', 'B6ACP', 'Feedback', 'Yet another crackme', 'Cook book', 'Cyp.ress', 'ChatGGT (1)', 'Pigeon Post (1)', 'ISA 101', 'Scratch ERCode', 'Void'], 'challenge_points': ['10', '100', '50', '150', '100', '150', '150', '100', '100', '10', '100', '250', '200', '100', '100', '200', '200', '100'], 'challenge_score': '2170'}"
64,T0047 - Vulunerability,"{'challenge_name': ['Sanity check', 'RSA LCG (0)', 'Crack the Pack (Ⅰ): Head and Shoulders', 'New Free Lunch', 'Get Flag Yourself', 'Cyp.ress', 'Almost DSA', 'Flag hasher', 'Pigeon Post (1)', 'Void', 'Feedback', 'B6ACP', 'My Lovely Cats', 'Cook book', 'Webpage to PDF (1)', 'Baby Cracker', 'ChatGGT (1)', 'Yet another crackme'], 'challenge_points': ['10', '100', '200', '100', '50', '200', '100', '100', '100', '100', '10', '100', '200', '250', '150', '100', '100', '100'], 'challenge_score': '2070'}"
65,ModernShinobi,"{'challenge_name': ['ChatGGT (1)', 'Cyp.ress', 'Baby Cracker', 'Get Flag Yourself', 'Sanity check', 'New Free Lunch', 'RSA LCG (0)', 'Morph', 'ISA 101', ""Where's the APT Attack (1)"", 'Almost DSA', 'B6ACP', 'Void', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'Yet another crackme', 'Flag hasher'], 'challenge_points': ['100', '200', '100', '50', '10', '100', '100', '300', '200', '150', '100', '100', '100', '150', '100', '100', '100'], 'challenge_score': '2060'}"
66,S0064 - Ying Wa College,"{'challenge_name': ['Sanity check', 'ChatGGT (1)', 'Almost DSA', 'New Free Lunch', ""Where's the APT Attack (1)"", 'Baby Cracker', 'Get Flag Yourself', 'Webpage to PDF (1)', 'Yet another crackme', 'Void', 'Tuning Keyboard 5', 'Flag hasher', 'Feedback', 'ISA 101', 'Pigeon Post (1)', 'RSA LCG (0)', 'Scratch ERCode', 'B6ACP'], 'challenge_points': ['10', '100', '100', '100', '150', '100', '50', '150', '100', '100', '255', '100', '10', '200', '100', '100', '200', '100'], 'challenge_score': '2025'}"
67,B4stiC1ub,"{'challenge_name': ['Sanity check', 'ISA 101', 'New Free Lunch', 'ChatGGT (1)', 'Get Flag Yourself', 'Baby Cracker', ""Where's the APT Attack (1)"", 'Almost DSA', 'Cyp.ress', 'Custom Web Server (1)', 'Scratch ERCode', 'Void', 'Yet another crackme', 'Webpage to PDF (1)', 'B6ACP', 'My Lovely Cats', 'Feedback'], 'challenge_points': ['10', '200', '100', '100', '50', '100', '150', '100', '200', '150', '200', '100', '100', '150', '100', '200', '10'], 'challenge_score': '2020'}"
68,T0002 - Athena,"{'challenge_name': ['Sanity check', 'Custom Web Server (1)', 'ISA 101', 'Get Flag Yourself', 'New Free Lunch', 'ChatGGT (1)', 'Baby Cracker', 'Almost DSA', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', 'RSA LCG (0)', 'Void', 'Flag hasher', 'Yet another crackme', 'Pigeon Post (1)', 'B6ACP', 'Feedback', 'Morph'], 'challenge_points': ['10', '150', '200', '50', '100', '100', '100', '100', '150', '150', '100', '100', '100', '100', '100', '100', '10', '300'], 'challenge_score': '2020'}"
69,MoaiMan,"{'challenge_name': ['Almost DSA', 'RSA LCG (0)', 'Sanity check', 'RSA LCG (1)', 'Baby Cracker', 'New Free Lunch', 'Hearing Check', 'Cook book', 'Feedback', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'Pigeon Post (2)', ""Where's the APT Attack (1)"", 'Get Flag Yourself', 'Void', 'Flag hasher'], 'challenge_points': ['100', '100', '10', '300', '100', '100', '100', '250', '10', '150', '100', '250', '150', '50', '100', '100'], 'challenge_score': '1970'}"
70,CyberCh1ck,"{'challenge_name': ['Sanity check', 'One Way Room', 'RSA LCG (0)', 'Get Flag Yourself', 'New Free Lunch', 'Baby Cracker', 'ChatGGT (1)', ""Where's the APT Attack (1)"", 'Cyp.ress', 'ISA 101', 'My Lovely Cats', 'Cook book', 'Flag Checker', 'Webpage to PDF (1)'], 'challenge_points': ['10', '150', '100', '50', '100', '100', '100', '150', '200', '200', '200', '250', '200', '150'], 'challenge_score': '1960'}"
71,O0064 - BIIC,"{'challenge_name': ['Sanity check', 'Custom Web Server (1)', 'New Free Lunch', 'Almost DSA', 'ISA 101', 'Webpage to PDF (1)', 'B6ACP', 'ChatGGT (1)', 'Yet another crackme', 'RSA LCG (0)', 'Baby Cracker', ""Where's the APT Attack (1)"", 'Get Flag Yourself', 'Void', 'Feedback', 'Pigeon Post (1)', 'Flag hasher', 'Cyp.ress'], 'challenge_points': ['10', '150', '100', '100', '200', '150', '100', '100', '100', '100', '100', '150', '50', '100', '10', '100', '100', '200'], 'challenge_score': '1920'}"
72,tojtfstueqcfquxfxd,"{'challenge_name': ['ISA 101', 'New Free Lunch', 'Get Flag Yourself', 'ChatGGT (1)', 'Baby Cracker', ""Where's the APT Attack (1)"", 'Custom Web Server (1)', 'Webpage to PDF (1)', 'Void', 'Yet another crackme', 'Scratch ERCode', ""Mystiz's Mini CTF (1)"", 'Almost DSA', 'Pigeon Post (1)', 'RSA LCG (0)'], 'challenge_points': ['200', '100', '50', '100', '100', '150', '150', '150', '100', '100', '200', '200', '100', '100', '100'], 'challenge_score': '1900'}"
73,f4n_n3r0,"{'challenge_name': ['Cyp.ress', 'One Way Room', 'Sanity check', 'New Free Lunch', 'Baby Cracker', ""Where's the APT Attack (1)"", 'Yet another crackme', 'Void', 'Feedback', 'ISA 101', 'Get Flag Yourself', 'Morph', 'Flag Checker', 'My Lovely Cats'], 'challenge_points': ['200', '150', '10', '100', '100', '150', '100', '100', '10', '200', '50', '300', '200', '200'], 'challenge_score': '1870'}"
74,Z&roDivision£rr0r,"{'challenge_name': ['Sanity check', 'One Way Room', 'RSA LCG (0)', ""Where's the APT Attack (1)"", 'New Free Lunch', 'Get Flag Yourself', 'Cyp.ress', 'Scratch ERCode', 'My Lovely Cats', 'Feedback', 'Webpage to PDF (1)', 'Baby Cracker', 'Void', 'Jane Streak Amateurs', 'Webpage to PDF (2)'], 'challenge_points': ['10', '150', '100', '150', '100', '50', '200', '200', '200', '10', '150', '100', '100', '150', '150'], 'challenge_score': '1820'}"
75,Setters,"{'challenge_name': ['Baby Cracker', 'Almost DSA', 'Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'ISA 101', 'Cyp.ress', 'ChatGGT (1)', 'RSA LCG (0)', 'Yet another crackme', 'RSA LCG (1)', 'Pigeon Post (1)', 'Pigeon Post (2)', 'Flag hasher'], 'challenge_points': ['100', '100', '10', '100', '50', '200', '200', '100', '100', '100', '300', '100', '250', '100'], 'challenge_score': '1810'}"
76,whitebunny314,"{'challenge_name': ['Sanity check', 'Baby Cracker', 'ChatGGT (1)', 'ISA 101', 'Almost DSA', 'New Free Lunch', 'Custom Web Server (1)', 'Morph', 'Postfix expression calculator', 'Get Flag Yourself', 'RSA LCG (0)', 'Void', 'Feedback', 'B6ACP', 'Shellcode Runner 3 Revenge'], 'challenge_points': ['10', '100', '100', '200', '100', '100', '150', '300', '220', '50', '100', '100', '10', '100', '150'], 'challenge_score': '1790'}"
77,Davidpb,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Void', 'Yet another crackme', 'Cyp.ress', 'Feedback', 'Baby Cracker', 'ISA 101', 'Morph', 'Flag hasher', 'ChatGGT (1)', 'Get Flag Yourself', 'Flag Checker', 'My Lovely Cats'], 'challenge_points': ['10', '100', '100', '100', '200', '10', '100', '200', '300', '100', '100', '50', '200', '200'], 'challenge_score': '1770'}"
78,team_prpl,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'One Way Room', 'ChatGGT (1)', 'Pigeon Post (1)', ""Mystiz's Mini CTF (2)"", 'Feedback', 'RSA LCG (0)', ""Where's the APT Attack (1)"", 'Baby Cracker', 'ISA 101', 'New Free Lunch', 'Cook book', 'Webpage to PDF (1)', 'Void', 'Flag hasher'], 'challenge_points': ['10', '50', '150', '100', '100', '100', '10', '100', '150', '100', '200', '100', '250', '150', '100', '100'], 'challenge_score': '1770'}"
79,skibiDiDiOS-01,"{'challenge_name': ['Sanity check', 'Baby Cracker', 'New Free Lunch', 'ChatGGT (1)', 'Webpage to PDF (1)', 'Flag hasher', 'RSA LCG (0)', 'Yet another crackme', 'Void', 'Cyp.ress', 'Pigeon Post (1)', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'Feedback', 'ISA 101', 'One Way Room'], 'challenge_points': ['10', '100', '100', '100', '150', '100', '100', '100', '100', '200', '100', '50', '150', '10', '200', '150'], 'challenge_score': '1720'}"
80,T0067 - HKU,"{'challenge_name': ['Sanity check', 'Cyp.ress', 'Baby Cracker', 'ISA 101', 'Almost DSA', 'New Free Lunch', 'Get Flag Yourself', 'ChatGGT (1)', 'RSA LCG (0)', 'Flag hasher', 'Webpage to PDF (1)', 'Webpage to PDF (2)', 'Void', 'Pigeon Post (1)', 'B6ACP', 'Feedback'], 'challenge_points': ['10', '200', '100', '200', '100', '100', '50', '100', '100', '100', '150', '150', '100', '100', '100', '10'], 'challenge_score': '1670'}"
81,O0094 - faiJJs,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'RSA LCG (0)', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', 'Flag hasher', 'B6ACP', 'Yet another crackme', 'ISA 101', 'Void', 'Feedback', 'Pigeon Post (1)', 'One Way Room', ""Mystiz's Mini CTF (2)"", 'Custom Web Server (1)'], 'challenge_points': ['10', '100', '50', '100', '150', '150', '100', '100', '100', '200', '100', '10', '100', '150', '100', '150'], 'challenge_score': '1670'}"
82,S0170 - CARMEL SECONDARY SCHOOL,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'New Free Lunch', 'Baby Cracker', 'Webpage to PDF (1)', 'Scratch ERCode', 'Feedback', 'Flag hasher', 'Void', 'Pigeon Post (1)', 'B6ACP', 'RSA LCG (0)', 'Yet another crackme', ""Where's the APT Attack (1)"", 'Almost DSA', 'My Lovely Cats'], 'challenge_points': ['10', '50', '100', '100', '150', '200', '10', '100', '100', '100', '100', '100', '100', '150', '100', '200'], 'challenge_score': '1670'}"
83,S0004 - Carmel Divine Grace Foundation Secondary School,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'RSA LCG (0)', 'Yet another crackme', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'B6ACP', 'Flag hasher', 'Feedback', 'Void', ""Mystiz's Mini CTF (2)"", 'Hearing Check', 'ISA 101', 'ChatGGT (1)', ""Where's the APT Attack (1)"", 'Baby Cracker'], 'challenge_points': ['10', '100', '50', '100', '100', '150', '100', '100', '100', '10', '100', '100', '100', '200', '100', '150', '100'], 'challenge_score': '1670'}"
84,HackOverflow,"{'challenge_name': ['New Free Lunch', ""Where's the APT Attack (1)"", 'Sanity check', 'ChatGGT (1)', 'Get Flag Yourself', 'One Way Room', 'ISA 101', 'ISH (1)', 'Webpage to PDF (1)', 'Feedback', 'Webpage to PDF (2)', 'Custom Web Server (1)', 'Baby Cracker', 'B6ACP'], 'challenge_points': ['100', '150', '10', '100', '50', '150', '200', '200', '150', '10', '150', '150', '100', '100'], 'challenge_score': '1620'}"
85,S0065 - Tseung Kwan O Government Secondary School,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'Void', 'ChatGGT (1)', 'Webpage to PDF (1)', 'Feedback', 'B6ACP', 'Yet another crackme', ""Where's the APT Attack (1)"", 'Hearing Check', 'Flag hasher', 'Scratch ERCode', 'One Way Room', 'Pigeon Post (1)', 'Baby Cracker'], 'challenge_points': ['10', '100', '50', '100', '100', '150', '10', '100', '100', '150', '100', '100', '200', '150', '100', '100'], 'challenge_score': '1620'}"
86,T0078 - FLAG{jackpot_777},"{'challenge_name': ['Sanity check', 'New Free Lunch', ""Where's the APT Attack (1)"", 'Get Flag Yourself', 'ChatGGT (1)', 'Yet another crackme', 'Void', 'B6ACP', 'Webpage to PDF (1)', 'Feedback', 'Hearing Check', 'Flag hasher', 'One Way Room', 'Pigeon Post (1)', 'Baby Cracker', 'Scratch ERCode'], 'challenge_points': ['10', '100', '150', '50', '100', '100', '100', '100', '150', '10', '100', '100', '150', '100', '100', '200'], 'challenge_score': '1620'}"
87,Whi13Tru3,"{'challenge_name': ['Sanity check', 'ChatGGT (1)', 'Baby Cracker', 'New Free Lunch', 'Get Flag Yourself', 'ISA 101', 'Custom Web Server (1)', 'ISH (1)', 'Postfix expression calculator', 'Cyp.ress', 'Webpage to PDF (1)', 'B6ACP'], 'challenge_points': ['10', '100', '100', '100', '50', '200', '150', '200', '220', '200', '150', '100'], 'challenge_score': '1580'}"
88,情不知所起一往而深,"{'challenge_name': ['Sanity check', 'ChatGGT (1)', 'New Free Lunch', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'One Way Room', 'Baby Cracker', 'Webpage to PDF (1)', 'B6ACP', 'Flag hasher', 'ChatGGT (2)', 'Feedback', 'Shellcode Runner 3'], 'challenge_points': ['10', '100', '100', '50', '150', '150', '100', '150', '100', '100', '230', '10', '300'], 'challenge_score': '1550'}"
89,O0080 - softcoreChiikawa,"{'challenge_name': ['Sanity check', 'Baby Cracker', 'ISA 101', 'One Way Room', 'New Free Lunch', 'Get Flag Yourself', 'RSA LCG (0)', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', 'Void', ""Mystiz's Mini CTF (2)"", 'Feedback', 'Flag hasher', 'ISH (1)'], 'challenge_points': ['10', '100', '200', '150', '100', '50', '100', '150', '150', '100', '100', '10', '100', '200'], 'challenge_score': '1520'}"
90,T0061 - THEI,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Almost DSA', 'Webpage to PDF (1)', 'RSA LCG (0)', 'Hearing Check', 'Feedback', 'Baby Cracker', 'ChatGGT (1)', 'Get Flag Yourself', 'Flag hasher', 'Void', ""Mystiz's Mini CTF (2)"", ""Mystiz's Mini CTF (1)"", 'Pigeon Post (1)', 'B6ACP'], 'challenge_points': ['10', '100', '100', '150', '100', '100', '10', '100', '100', '50', '100', '100', '100', '200', '100', '100'], 'challenge_score': '1520'}"
91,T0066 - 8@ldNICKypoPOyIp,"{'challenge_name': ['Baby Cracker', 'New Free Lunch', 'Sanity check', 'Get Flag Yourself', 'ChatGGT (1)', ""Where's the APT Attack (1)"", 'RSA LCG (0)', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'B6ACP', 'Feedback', 'Yet another crackme', 'Void', 'My Lovely Cats', 'Flag hasher'], 'challenge_points': ['100', '100', '10', '50', '100', '150', '100', '150', '100', '100', '10', '100', '100', '200', '100'], 'challenge_score': '1470'}"
92,acdwas,"{'challenge_name': ['Baby Cracker', 'Morph', ""Where's the APT Attack (1)"", 'Flag Checker', 'Yet another crackme', 'One Way Room', 'Sanity check', 'Feedback', 'My Lovely Cats', 'Flag hasher', 'ChatGGT (1)'], 'challenge_points': ['100', '300', '150', '200', '100', '150', '10', '10', '200', '100', '100'], 'challenge_score': '1420'}"
93,JambonFromage,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'Feedback', 'Baby Cracker', 'One Way Room', 'Webpage to PDF (1)', 'B6ACP', 'Pigeon Post (1)', 'RSA LCG (0)', 'ISA 101', 'ChatGGT (1)', 'Flag hasher'], 'challenge_points': ['10', '100', '50', '150', '10', '100', '150', '150', '100', '100', '100', '200', '100', '100'], 'challenge_score': '1420'}"
94,VGU_1337,"{'challenge_name': ['Baby Cracker', ""Where's the APT Attack (1)"", 'Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'RSA LCG (0)', 'Webpage to PDF (1)', 'Custom Web Server (1)', 'Almost DSA', 'Feedback', 'ChatGGT (1)', 'RSA LCG (1)', 'Pigeon Post (1)'], 'challenge_points': ['100', '150', '10', '100', '50', '100', '150', '150', '100', '10', '100', '300', '100'], 'challenge_score': '1420'}"
95,T0058 - NuttyShell Blue,"{'challenge_name': ['Sanity check', 'ISA 101', 'Get Flag Yourself', 'New Free Lunch', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', 'Baby Cracker', 'Pigeon Post (1)', 'One Way Room', 'B6ACP', 'Feedback', 'Void', 'My Lovely Cats'], 'challenge_points': ['10', '200', '50', '100', '150', '150', '100', '100', '150', '100', '10', '100', '200'], 'challenge_score': '1420'}"
96,O0087 - Hawk 2 Uh,"{'challenge_name': ['Baby Cracker', 'Almost DSA', 'Sanity check', 'New Free Lunch', 'Custom Web Server (1)', 'Feedback', 'Get Flag Yourself', 'Webpage to PDF (1)', 'Void', ""Where's the APT Attack (1)"", 'Pigeon Post (1)', 'ChatGGT (1)', 'Yet another crackme', 'Flag hasher', 'B6ACP'], 'challenge_points': ['100', '100', '10', '100', '150', '10', '50', '150', '100', '150', '100', '100', '100', '100', '100'], 'challenge_score': '1420'}"
97,abbabaab,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Webpage to PDF (1)', 'Void', 'Almost DSA', 'Yet another crackme', 'Baby Cracker', 'ISA 101', 'RSA LCG (0)', 'Pigeon Post (1)', 'Get Flag Yourself', 'B6ACP', 'Flag hasher', 'ChatGGT (1)'], 'challenge_points': ['10', '100', '150', '100', '100', '100', '100', '200', '100', '100', '50', '100', '100', '100'], 'challenge_score': '1410'}"
98,T0083 - H4B1T_B1RD,"{'challenge_name': ['Sanity check', 'ChatGGT (1)', ""Where's the APT Attack (1)"", 'New Free Lunch', 'Baby Cracker', 'RSA LCG (0)', 'Get Flag Yourself', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'Void', 'Flag hasher', 'ISA 101', 'Yet another crackme', 'Feedback'], 'challenge_points': ['10', '100', '150', '100', '100', '100', '50', '150', '100', '100', '100', '200', '100', '10'], 'challenge_score': '1370'}"
99,Small Potatoes,"{'challenge_name': [""Where's the APT Attack (1)"", 'Sanity check', 'Pigeon Post (1)', 'Void', 'New Free Lunch', 'Baby Cracker', 'RSA LCG (0)', 'Feedback', 'Cook book', 'Get Flag Yourself', 'Yet another crackme', 'Webpage to PDF (1)', 'One Way Room'], 'challenge_points': ['150', '10', '100', '100', '100', '100', '100', '10', '250', '50', '100', '150', '150'], 'challenge_score': '1370'}"
100,Okizeme,"{'challenge_name': ['Get Flag Yourself', ""Where's the APT Attack (1)"", 'New Free Lunch', 'Sanity check', 'Baby Cracker', 'ISA 101', 'Yet another crackme', 'Feedback', 'Cyp.ress', 'Flag hasher', 'Hearing Check', 'Webpage to PDF (1)', 'ChatGGT (1)'], 'challenge_points': ['50', '150', '100', '10', '100', '200', '100', '10', '200', '100', '100', '150', '100'], 'challenge_score': '1370'}"
101,S0003 - Baptist Lui Ming Choi Secondary School,"{'challenge_name': ['Baby Cracker', 'Sanity check', 'New Free Lunch', 'ISA 101', 'Webpage to PDF (1)', ""Where's the APT Attack (1)"", 'Pigeon Post (1)', 'Feedback', 'Flag hasher', 'Void', 'RSA LCG (0)', 'Hearing Check', 'Get Flag Yourself', 'B6ACP'], 'challenge_points': ['100', '10', '100', '200', '150', '150', '100', '10', '100', '100', '100', '100', '50', '100'], 'challenge_score': '1370'}"
102,Jarkom? ,"{'challenge_name': ['New Free Lunch', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'Sanity check', 'ChatGGT (1)', 'Baby Cracker', 'ISA 101', 'Yet another crackme', 'Cyp.ress', 'Hearing Check', 'Webpage to PDF (1)', 'Feedback', 'Flag hasher'], 'challenge_points': ['100', '50', '150', '10', '100', '100', '200', '100', '200', '100', '150', '10', '100'], 'challenge_score': '1370'}"
103,VictoriaSecret,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Baby Cracker', 'Get Flag Yourself', 'Custom Web Server (1)', ""Mystiz's Mini CTF (1)"", ""Mystiz's Mini CTF (2)"", 'Webpage to PDF (1)', 'B6ACP', ""Where's the APT Attack (1)"", 'One Way Room', 'Pigeon Post (1)'], 'challenge_points': ['10', '100', '100', '50', '150', '200', '100', '150', '100', '150', '150', '100'], 'challenge_score': '1360'}"
104,capybara,"{'challenge_name': ['Sanity check', 'ISA 101', 'Get Flag Yourself', 'New Free Lunch', 'Scratch ERCode', 'RSA LCG (0)', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'Void', 'Flag hasher', 'Baby Cracker', 'B6ACP', 'Feedback'], 'challenge_points': ['10', '200', '50', '100', '200', '100', '150', '100', '100', '100', '100', '100', '10'], 'challenge_score': '1320'}"
105,O0072 - TheBeginners,"{'challenge_name': ['Baby Cracker', 'Sanity check', ""Where's the APT Attack (1)"", 'New Free Lunch', 'B6ACP', 'Get Flag Yourself', 'ISA 101', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'Feedback', 'Void', 'Hearing Check', 'RSA LCG (0)'], 'challenge_points': ['100', '10', '150', '100', '100', '50', '200', '150', '100', '10', '100', '100', '100'], 'challenge_score': '1270'}"
106,"T0079 - HKUST,HKIIT,HKUST","{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'ChatGGT (1)', 'Scratch ERCode', 'Void', 'Flag hasher', 'Webpage to PDF (1)', 'B6ACP', 'Feedback', ""Where's the APT Attack (1)"", 'Baby Cracker', 'Yet another crackme'], 'challenge_points': ['10', '100', '50', '100', '200', '100', '100', '150', '100', '10', '150', '100', '100'], 'challenge_score': '1270'}"
107,Archiv3,"{'challenge_name': ['One Way Room', 'Sanity check', ""Where's the APT Attack (1)"", 'Cook book', 'Jane Streak Amateurs', 'Void', 'Baby Cracker', 'Cyp.ress', 'New Free Lunch', 'Get Flag Yourself', 'Feedback'], 'challenge_points': ['150', '10', '150', '250', '150', '100', '100', '200', '100', '50', '10'], 'challenge_score': '1270'}"
108,R@b!T_T,"{'challenge_name': ['Sanity check', 'New Free Lunch', ""Where's the APT Attack (1)"", 'Get Flag Yourself', 'One Way Room', 'ISA 101', 'ChatGGT (1)', 'Webpage to PDF (1)', 'B6ACP', 'Void', 'Flag hasher', 'Feedback'], 'challenge_points': ['10', '100', '150', '50', '150', '200', '100', '150', '100', '100', '100', '10'], 'challenge_score': '1220'}"
109,GaruX,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'New Free Lunch', ""Where's the APT Attack (1)"", 'One Way Room', 'Webpage to PDF (1)', 'ChatGGT (1)', 'Flag hasher', 'Feedback', 'Yet another crackme', 'B6ACP', 'RSA LCG (0)', 'Void'], 'challenge_points': ['10', '50', '100', '150', '150', '150', '100', '100', '10', '100', '100', '100', '100'], 'challenge_score': '1220'}"
110,T0013 - Chill Player,"{'challenge_name': ['Sanity check', 'Baby Cracker', ""Where's the APT Attack (1)"", 'New Free Lunch', 'Get Flag Yourself', 'ChatGGT (1)', 'RSA LCG (0)', 'Webpage to PDF (1)', 'Yet another crackme', 'Almost DSA', 'Flag hasher', 'Pigeon Post (1)', 'Feedback'], 'challenge_points': ['10', '100', '150', '100', '50', '100', '100', '150', '100', '100', '100', '100', '10'], 'challenge_score': '1170'}"
111,O0034 - Exploit Experts,"{'challenge_name': ['Sanity check', 'Baby Cracker', 'New Free Lunch', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', 'RSA LCG (0)', 'Void', 'Feedback', 'Pigeon Post (1)', 'Flag hasher', 'ISA 101'], 'challenge_points': ['10', '100', '100', '50', '150', '150', '100', '100', '10', '100', '100', '200'], 'challenge_score': '1170'}"
