Position,name,points,challenge
13,Cryptonite,1840,"{'challenge_name': ['Mini X', 'My Vault', 'Batman - The Dark Knight', 'Sentir', 'Tempus', 'Wanna Play a Game?', 'Yet Another Format String Bug', 'Recover Your Vision', 'Chessato'], 'challenge_category': ['OSINT', 'Crypto', 'DFIR', 'Reverse', 'Hardware', 'Pwn', 'Pwn', 'Pwn', 'Reverse'], 'challenge_points': ['100', '100', '260', '220', '400', '100', '240', '320', '100'], 'solve_time': ['2024-12-27 19:13', '2024-12-27 20:37', '2024-12-27 22:50', '2024-12-28 00:18', '2024-12-28 03:14', '2024-12-28 08:22', '2024-12-28 10:34', '2024-12-28 15:13', '2024-12-28 16:59']}"
14,Leviathan__,1750,"{'challenge_name': ['Chessato', 'Sentir', 'ILLOwl', 'Mini X', 'Wanna Play a Game?', 'My Vault', '18 Karat Gold', 'Recover Your Vision', 'Prime Suspects'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'OSINT', 'Pwn', 'Crypto', 'Crypto', 'Pwn', 'Misc'], 'challenge_points': ['100', '220', '400', '100', '100', '100', '100', '320', '310'], 'solve_time': ['2024-12-27 19:12', '2024-12-27 19:57', '2024-12-28 00:33', '2024-12-28 09:02', '2024-12-28 09:23', '2024-12-28 10:40', '2024-12-28 13:48', '2024-12-28 16:05', '2024-12-28 21:29']}"
15,real 0xfun,1740,"{'challenge_name': ['Mini X', 'My Vault', '18 Karat Gold', 'Manifesto', 'Yet Another Format String Bug', 'Capawchino Cafe', 'Wanna Play a Game?', 'Chessato', 'Recover Your Vision', 'Batman - The Dark Knight'], 'challenge_category': ['OSINT', 'Crypto', 'Crypto', 'Web', 'Pwn', 'Crypto', 'Pwn', 'Reverse', 'Pwn', 'DFIR'], 'challenge_points': ['100', '100', '100', '100', '240', '320', '100', '100', '320', '260'], 'solve_time': ['2024-12-28 07:09', '2024-12-28 07:16', '2024-12-28 07:25', '2024-12-28 07:50', '2024-12-28 08:41', '2024-12-28 10:41', '2024-12-28 11:58', '2024-12-28 12:16', '2024-12-28 16:32', '2024-12-29 01:24']}"
16,xSTF,1660,"{'challenge_name': ['Prime Suspects', 'Capawchino Cafe', 'Mini X', 'small eq’s', 'My Vault', 'Manifesto', 'Wanna Play a Game?', '18 Karat Gold', 'Maroon'], 'challenge_category': ['Misc', 'Crypto', 'OSINT', 'Crypto', 'Crypto', 'Web', 'Pwn', 'Crypto', 'OSINT'], 'challenge_points': ['310', '320', '100', '430', '100', '100', '100', '100', '100'], 'solve_time': ['2024-12-27 21:03', '2024-12-27 22:26', '2024-12-28 00:20', '2024-12-28 00:36', '2024-12-28 03:37', '2024-12-28 07:01', '2024-12-28 08:07', '2024-12-28 17:00', '2024-12-28 22:20']}"
17,Kuastro ,1640,"{'challenge_name': ['Mini X', 'Manifesto', 'My Vault', 'Maroon', 'Batman - The Dark Knight', 'GhostBot', 'Wanna Play a Game?', 'Chessato', ""Batman - Gotham's Secret""], 'challenge_category': ['OSINT', 'Web', 'Crypto', 'OSINT', 'DFIR', 'OSINT', 'Pwn', 'Reverse', 'DFIR'], 'challenge_points': ['100', '100', '100', '100', '260', '360', '100', '100', '420'], 'solve_time': ['2024-12-27 19:48', '2024-12-27 19:50', '2024-12-27 21:42', '2024-12-28 01:28', '2024-12-28 05:18', '2024-12-28 05:27', '2024-12-28 07:48', '2024-12-28 08:56', '2024-12-28 17:14']}"
18,HCS,1570,"{'challenge_name': ['My Vault', 'Manifesto', 'Sentir', 'Maroon', 'Chessato', 'ILLOwl', 'Russian Roulette', '18 Karat Gold'], 'challenge_category': ['Crypto', 'Web', 'Reverse', 'OSINT', 'Reverse', 'Reverse', 'Mobile', 'Crypto'], 'challenge_points': ['100', '100', '220', '100', '100', '400', '450', '100'], 'solve_time': ['2024-12-27 19:39', '2024-12-27 20:25', '2024-12-27 21:04', '2024-12-27 21:46', '2024-12-27 21:49', '2024-12-28 00:45', '2024-12-28 02:49', '2024-12-28 05:16']}"
19,ASIS,1540,"{'challenge_name': ['My Vault', 'Manifesto', 'Chessato', 'Prime Suspects', 'Tempus', 'Squinty', 'Mini X'], 'challenge_category': ['Crypto', 'Web', 'Reverse', 'Misc', 'Hardware', 'Hardware', 'OSINT'], 'challenge_points': ['100', '100', '100', '310', '400', '430', '100'], 'solve_time': ['2024-12-27 18:06', '2024-12-27 18:43', '2024-12-27 20:24', '2024-12-27 21:18', '2024-12-27 23:13', '2024-12-28 01:44', '2024-12-28 02:45']}"
20,BITSkrieg,1490,"{'challenge_name': ['Batman - The Dark Knight', 'My Vault', 'Prime Suspects', 'Manifesto', 'Mini X', ""Batman - Gotham's Secret"", '18 Karat Gold', 'Maroon'], 'challenge_category': ['DFIR', 'Crypto', 'Misc', 'Web', 'OSINT', 'DFIR', 'Crypto', 'OSINT'], 'challenge_points': ['260', '100', '310', '100', '100', '420', '100', '100'], 'solve_time': ['2024-12-27 17:54', '2024-12-27 17:58', '2024-12-27 19:03', '2024-12-27 20:53', '2024-12-27 23:08', '2024-12-28 00:13', '2024-12-28 09:52', '2024-12-28 12:10']}"
21,P3gasus,1480,"{'challenge_name': ['Manifesto', 'Yet Another Format String Bug', 'Wanna Play a Game?', 'Recover Your Vision', ""Batman - Gotham's Secret"", 'My Vault', 'Mini X', 'Chessato'], 'challenge_category': ['Web', 'Pwn', 'Pwn', 'Pwn', 'DFIR', 'Crypto', 'OSINT', 'Reverse'], 'challenge_points': ['100', '240', '100', '320', '420', '100', '100', '100'], 'solve_time': ['2024-12-27 19:38', '2024-12-28 09:38', '2024-12-28 10:23', '2024-12-28 13:04', '2024-12-28 14:34', '2024-12-28 14:53', '2024-12-28 15:26', '2024-12-28 17:24']}"
22,RubiyaLab,1440,"{'challenge_name': ['My Vault', 'Manifesto', 'Mini X', 'Chessato', '18 Karat Gold', 'Sentir', 'Maroon', 'GhostBot', 'Batman - The Dark Knight'], 'challenge_category': ['Crypto', 'Web', 'OSINT', 'Reverse', 'Crypto', 'Reverse', 'OSINT', 'OSINT', 'DFIR'], 'challenge_points': ['100', '100', '100', '100', '100', '220', '100', '360', '260'], 'solve_time': ['2024-12-27 18:29', '2024-12-27 18:33', '2024-12-27 19:48', '2024-12-27 21:39', '2024-12-28 10:56', '2024-12-28 11:20', '2024-12-30 11:43', '2024-12-30 12:06', '2024-12-30 13:23']}"
23,TRX,1360,"{'challenge_name': ['My Vault', 'Chessato', 'ILLOwl', 'Recover Your Vision', 'Yet Another Format String Bug', 'Wanna Play a Game?', '18 Karat Gold'], 'challenge_category': ['Crypto', 'Reverse', 'Reverse', 'Pwn', 'Pwn', 'Pwn', 'Crypto'], 'challenge_points': ['100', '100', '400', '320', '240', '100', '100'], 'solve_time': ['2024-12-27 18:36', '2024-12-27 19:24', '2024-12-27 22:05', '2024-12-28 01:56', '2024-12-28 02:26', '2024-12-28 02:51', '2024-12-28 04:43']}"
24,inTheShell_,1280,"{'challenge_name': ['My Vault', 'Chessato', 'Sentir', 'Manifesto', 'Wanna Play a Game?', 'Yet Another Format String Bug', 'Recover Your Vision', 'Mini X'], 'challenge_category': ['Crypto', 'Reverse', 'Reverse', 'Web', 'Pwn', 'Pwn', 'Pwn', 'OSINT'], 'challenge_points': ['100', '100', '220', '100', '100', '240', '320', '100'], 'solve_time': ['2024-12-28 03:36', '2024-12-28 03:55', '2024-12-28 08:43', '2024-12-28 10:00', '2024-12-28 10:35', '2024-12-28 12:10', '2024-12-28 19:36', '2024-12-29 23:55']}"
25,Aft3r_7h0ugh7,1280,"{'challenge_name': ['My Vault', 'Mini X', '18 Karat Gold', 'Wanna Play a Game?', 'Maroon', 'Capawchino Cafe', 'GhostBot', 'Manifesto'], 'challenge_category': ['Crypto', 'OSINT', 'Crypto', 'Pwn', 'OSINT', 'Crypto', 'OSINT', 'Web'], 'challenge_points': ['100', '100', '100', '100', '100', '320', '360', '100'], 'solve_time': ['2024-12-27 18:52', '2024-12-27 20:58', '2024-12-28 09:38', '2024-12-28 15:19', '2024-12-28 16:16', '2024-12-28 17:01', '2024-12-28 17:19', '2024-12-30 09:48']}"
26,git_gud,1240,"{'challenge_name': ['My Vault', 'Capawchino Cafe', 'Chessato', '18 Karat Gold', 'Sentir', 'Tempus'], 'challenge_category': ['Crypto', 'Crypto', 'Reverse', 'Crypto', 'Reverse', 'Hardware'], 'challenge_points': ['100', '320', '100', '100', '220', '400'], 'solve_time': ['2024-12-28 12:39', '2024-12-28 13:19', '2024-12-28 13:35', '2024-12-28 14:01', '2024-12-28 14:48', '2024-12-28 15:44']}"
27,TheHiddenCastle,1230,"{'challenge_name': ['My Vault', 'Manifesto', 'Squinty', 'Maroon', '18 Karat Gold', 'Tempus'], 'challenge_category': ['Crypto', 'Web', 'Hardware', 'OSINT', 'Crypto', 'Hardware'], 'challenge_points': ['100', '100', '430', '100', '100', '400'], 'solve_time': ['2024-12-27 18:52', '2024-12-27 20:25', '2024-12-28 02:06', '2024-12-28 02:52', '2024-12-28 12:06', '2024-12-28 15:09']}"
28,FlagMotori,1220,"{'challenge_name': ['Manifesto', 'My Vault', 'Mini X', 'Chessato', 'Maroon', 'Batman - The Dark Knight', 'Wanna Play a Game?', 'GhostBot'], 'challenge_category': ['Web', 'Crypto', 'OSINT', 'Reverse', 'OSINT', 'DFIR', 'Pwn', 'OSINT'], 'challenge_points': ['100', '100', '100', '100', '100', '260', '100', '360'], 'solve_time': ['2024-12-27 19:17', '2024-12-27 19:24', '2024-12-27 20:09', '2024-12-27 21:14', '2024-12-27 21:38', '2024-12-28 00:56', '2024-12-28 07:03', '2024-12-28 08:48']}"
29,Securinets,1180,"{'challenge_name': ['My Vault', 'Chessato', 'Yet Another Format String Bug', 'Wanna Play a Game?', 'Recover Your Vision', 'Mini X', 'Sentir'], 'challenge_category': ['Crypto', 'Reverse', 'Pwn', 'Pwn', 'Pwn', 'OSINT', 'Reverse'], 'challenge_points': ['100', '100', '240', '100', '320', '100', '220'], 'solve_time': ['2024-12-28 00:56', '2024-12-28 01:13', '2024-12-28 03:23', '2024-12-28 04:20', '2024-12-28 05:13', '2024-12-28 08:59', '2024-12-28 17:07']}"
30,Flag Fortress 2,1170,"{'challenge_name': ['My Vault', 'Yet Another Format String Bug', 'Wanna Play a Game?', 'Recover Your Vision', '18 Karat Gold', 'Prime Suspects'], 'challenge_category': ['Crypto', 'Pwn', 'Pwn', 'Pwn', 'Crypto', 'Misc'], 'challenge_points': ['100', '240', '100', '320', '100', '310'], 'solve_time': ['2024-12-27 18:00', '2024-12-28 02:10', '2024-12-28 04:34', '2024-12-28 14:51', '2024-12-29 14:58', '2024-12-29 15:31']}"
31,MindCrafters,1130,"{'challenge_name': ['My Vault', 'Mini X', 'Manifesto', 'Prime Suspects', 'Chessato', '18 Karat Gold', 'Capawchino Cafe'], 'challenge_category': ['Crypto', 'OSINT', 'Web', 'Misc', 'Reverse', 'Crypto', 'Crypto'], 'challenge_points': ['100', '100', '100', '310', '100', '100', '320'], 'solve_time': ['2024-12-27 17:58', '2024-12-27 18:01', '2024-12-27 18:37', '2024-12-27 21:48', '2024-12-27 23:05', '2024-12-28 02:56', '2024-12-28 05:56']}"
32,Just For The Questions,1080,"{'challenge_name': ['Yet Another Format String Bug', 'Wanna Play a Game?', 'Recover Your Vision', 'Sentir', 'My Vault', '18 Karat Gold'], 'challenge_category': ['Pwn', 'Pwn', 'Pwn', 'Reverse', 'Crypto', 'Crypto'], 'challenge_points': ['240', '100', '320', '220', '100', '100'], 'solve_time': ['2024-12-28 07:12', '2024-12-28 07:31', '2024-12-28 07:55', '2024-12-28 10:19', '2024-12-28 12:36', '2024-12-28 15:47']}"
33,HyperSpectrum,1060,"{'challenge_name': ['My Vault', 'Yet Another Format String Bug', 'Wanna Play a Game?', 'Chessato', 'Manifesto', 'Mini X', 'Recover Your Vision'], 'challenge_category': ['Crypto', 'Pwn', 'Pwn', 'Reverse', 'Web', 'OSINT', 'Pwn'], 'challenge_points': ['100', '240', '100', '100', '100', '100', '320'], 'solve_time': ['2024-12-27 20:11', '2024-12-28 10:02', '2024-12-28 10:53', '2024-12-28 12:39', '2024-12-28 13:40', '2024-12-28 14:08', '2024-12-30 05:19']}"
34,testcase,1040,"{'challenge_name': ['Sentir', 'ILLOwl', ""Batman - Gotham's Secret""], 'challenge_category': ['Reverse', 'Reverse', 'DFIR'], 'challenge_points': ['220', '400', '420'], 'solve_time': ['2024-12-27 22:14', '2024-12-28 00:12', '2024-12-28 19:48']}"
35,Chiwchni ,1020,"{'challenge_name': ['Manifesto', 'Mini X', 'My Vault', 'Maroon', 'GhostBot', 'Batman - The Dark Knight'], 'challenge_category': ['Web', 'OSINT', 'Crypto', 'OSINT', 'OSINT', 'DFIR'], 'challenge_points': ['100', '100', '100', '100', '360', '260'], 'solve_time': ['2024-12-27 19:38', '2024-12-27 20:44', '2024-12-27 21:38', '2024-12-28 01:45', '2024-12-28 05:52', '2024-12-28 06:35']}"
36,Leg,1010,"{'challenge_name': ['My Vault', 'Squinty', 'Power-SCAndal'], 'challenge_category': ['Crypto', 'Hardware', 'Hardware'], 'challenge_points': ['100', '430', '480'], 'solve_time': ['2024-12-27 20:14', '2024-12-28 01:08', '2024-12-28 01:09']}"
37,tes,940,"{'challenge_name': ['My Vault', '18 Karat Gold', 'Prime Suspects', 'small eq’s'], 'challenge_category': ['Crypto', 'Crypto', 'Misc', 'Crypto'], 'challenge_points': ['100', '100', '310', '430'], 'solve_time': ['2024-12-27 18:47', '2024-12-28 11:32', '2024-12-28 21:14', '2024-12-28 23:28']}"
38,b01lers,920,"{'challenge_name': ['My Vault', 'Capawchino Cafe', 'Tempus', 'Wanna Play a Game?'], 'challenge_category': ['Crypto', 'Crypto', 'Hardware', 'Pwn'], 'challenge_points': ['100', '320', '400', '100'], 'solve_time': ['2024-12-27 20:40', '2024-12-28 02:56', '2024-12-28 12:07', '2024-12-28 13:52']}"
39,CGRunBy,880,"{'challenge_name': ['Mini X', 'My Vault', 'Batman - The Dark Knight', ""Batman - Gotham's Secret""], 'challenge_category': ['OSINT', 'Crypto', 'DFIR', 'DFIR'], 'challenge_points': ['100', '100', '260', '420'], 'solve_time': ['2024-12-27 19:49', '2024-12-27 20:39', '2024-12-28 04:14', '2024-12-28 20:45']}"
40,Cyberhub,880,"{'challenge_name': ['Mini X', 'Maroon', 'Batman - The Dark Knight', 'Manifesto', 'Sentir', 'Chessato'], 'challenge_category': ['OSINT', 'OSINT', 'DFIR', 'Web', 'Reverse', 'Reverse'], 'challenge_points': ['100', '100', '260', '100', '220', '100'], 'solve_time': ['2024-12-27 18:28', '2024-12-27 23:06', '2024-12-28 04:41', '2024-12-28 16:50', '2024-12-28 23:16', '2024-12-28 23:19']}"
41,Dawg4j,860,"{'challenge_name': ['My Vault', 'Mini X', 'Sentir', 'Wanna Play a Game?', 'Yet Another Format String Bug', 'Chessato'], 'challenge_category': ['Crypto', 'OSINT', 'Reverse', 'Pwn', 'Pwn', 'Reverse'], 'challenge_points': ['100', '100', '220', '100', '240', '100'], 'solve_time': ['2024-12-27 20:37', '2024-12-27 22:32', '2024-12-28 00:52', '2024-12-28 05:36', '2024-12-28 08:46', '2024-12-28 13:03']}"
42,AirOverflow,840,"{'challenge_name': ['Wanna Play a Game?', 'My Vault', 'The Joker 2', 'Sentir'], 'challenge_category': ['Pwn', 'Crypto', 'Reverse', 'Reverse'], 'challenge_points': ['100', '100', '420', '220'], 'solve_time': ['2024-12-28 03:09', '2024-12-28 04:16', '2024-12-28 05:25', '2024-12-28 06:04']}"
43,Thread in the Needle,830,"{'challenge_name': ['My Vault', 'Capawchino Cafe', '18 Karat Gold', 'Prime Suspects'], 'challenge_category': ['Crypto', 'Crypto', 'Crypto', 'Misc'], 'challenge_points': ['100', '320', '100', '310'], 'solve_time': ['2024-12-27 19:18', '2024-12-28 00:34', '2024-12-28 08:01', '2024-12-28 09:46']}"
44,terkctf,830,"{'challenge_name': ['My Vault', 'Prime Suspects', '18 Karat Gold', 'Capawchino Cafe'], 'challenge_category': ['Crypto', 'Misc', 'Crypto', 'Crypto'], 'challenge_points': ['100', '310', '100', '320'], 'solve_time': ['2024-12-27 18:21', '2024-12-27 23:09', '2024-12-28 07:00', '2024-12-28 12:11']}"
45,blupper,790,"{'challenge_name': ['Capawchino Cafe', 'Private Curve'], 'challenge_category': ['Crypto', 'Crypto'], 'challenge_points': ['320', '470'], 'solve_time': ['2024-12-27 22:41', '2024-12-28 15:55']}"
46,Status 418,760,"{'challenge_name': ['Mini X', 'Maroon', 'My Vault', 'GhostBot', 'Manifesto'], 'challenge_category': ['OSINT', 'OSINT', 'Crypto', 'OSINT', 'Web'], 'challenge_points': ['100', '100', '100', '360', '100'], 'solve_time': ['2024-12-27 19:12', '2024-12-27 21:41', '2024-12-27 22:57', '2024-12-28 02:11', '2024-12-28 04:15']}"
47,Nahomies,760,"{'challenge_name': ['Manifesto', 'Mini X', 'Maroon', 'My Vault', 'GhostBot'], 'challenge_category': ['Web', 'OSINT', 'OSINT', 'Crypto', 'OSINT'], 'challenge_points': ['100', '100', '100', '100', '360'], 'solve_time': ['2024-12-27 19:20', '2024-12-27 19:52', '2024-12-28 03:38', '2024-12-28 04:42', '2024-12-28 21:01']}"
