Place,Name,Points,Challenges
39,Kalmarunionen,857,"{'challenge_name': ['vuln-img', 'Password-Ate-Quiz', 'Misbehave', 'simple calc', 'Cached File Viewer', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['pwn', 'pwn', 'reversing', 'misc', 'misc', 'web', 'Warmup'], 'challenge_points': ['166', '108', '114', '156', '113', '100', '100'], 'solve_time': ['2024-12-14T23:17:37.030Z', '2024-12-14T22:31:38.659Z', '2024-12-14T16:46:05.929Z', '2024-12-14T13:09:37.896Z', '2024-12-14T12:24:40.513Z', '2024-12-14T10:41:58.554Z', '2024-12-14T10:20:28.794Z']}"
40,KUDoS,827,"{'challenge_name': ['Mystery of Scattered Key', 'Survey', 'Cached File Viewer', 'Misbehave', 'vuln-img', 'Password-Ate-Quiz', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['crypto', 'cooldown', 'misc', 'reversing', 'pwn', 'pwn', 'web', 'Warmup'], 'challenge_points': ['125', '1', '113', '114', '166', '108', '100', '100'], 'solve_time': ['2024-12-15T04:09:05.153Z', '2024-12-15T01:50:28.701Z', '2024-12-14T15:15:23.193Z', '2024-12-14T12:19:08.103Z', '2024-12-14T11:32:01.435Z', '2024-12-14T07:49:46.362Z', '2024-12-14T07:32:54.848Z', '2024-12-14T07:11:49.101Z']}"
41,onotch,817,"{'challenge_name': ['simple calc', 'Survey', 'Cached File Viewer', 'Misbehave', 'Password-Ate-Quiz', 'Mystery of Scattered Key', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['misc', 'cooldown', 'misc', 'reversing', 'pwn', 'crypto', 'web', 'Warmup'], 'challenge_points': ['156', '1', '113', '114', '108', '125', '100', '100'], 'solve_time': ['2024-12-15T06:35:22.181Z', '2024-12-15T03:53:33.367Z', '2024-12-14T15:03:31.538Z', '2024-12-14T13:21:54.359Z', '2024-12-14T11:56:43.895Z', '2024-12-14T10:09:25.922Z', '2024-12-14T07:28:56.905Z', '2024-12-14T07:01:35.123Z']}"
42,floret,811,"{'challenge_name': ['Feistel Barrier', 'Survey', 'Mystery of Scattered Key', 'Cached File Viewer', 'Password-Ate-Quiz', 'Misbehave', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['crypto', 'cooldown', 'crypto', 'misc', 'pwn', 'reversing', 'web', 'Warmup'], 'challenge_points': ['150', '1', '125', '113', '108', '114', '100', '100'], 'solve_time': ['2024-12-15T03:51:53.826Z', '2024-12-14T15:59:49.160Z', '2024-12-14T15:42:32.349Z', '2024-12-14T15:20:04.510Z', '2024-12-14T14:00:58.173Z', '2024-12-14T09:40:03.613Z', '2024-12-14T08:44:45.546Z', '2024-12-14T07:00:53.276Z']}"
43,Kuruwa,799,"{'challenge_name': ['Who is the Outlier?', 'Feistel Barrier', 'Easy? ECDLP', 'Mystery of Scattered Key', 'Sanity Check'], 'challenge_category': ['crypto', 'crypto', 'crypto', 'crypto', 'Warmup'], 'challenge_points': ['227', '150', '197', '125', '100'], 'solve_time': ['2024-12-14T13:47:50.954Z', '2024-12-14T11:32:44.936Z', '2024-12-14T08:37:24.757Z', '2024-12-14T07:35:43.025Z', '2024-12-14T07:01:40.471Z']}"
44,KDIX.Security,757,"{'challenge_name': ['piercing_misty_mountain', 'simple calc', 'Survey', 'Password-Ate-Quiz', 'Cached File Viewer', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['pwn', 'misc', 'cooldown', 'pwn', 'misc', 'web', 'Warmup'], 'challenge_points': ['179', '156', '1', '108', '113', '100', '100'], 'solve_time': ['2024-12-15T06:24:12.311Z', '2024-12-15T03:17:19.516Z', '2024-12-14T15:48:58.694Z', '2024-12-14T13:05:37.288Z', '2024-12-14T10:34:25.038Z', '2024-12-14T07:12:43.093Z', '2024-12-14T07:00:54.413Z']}"
45,ONsen,734,"{'challenge_name': ['Survey', 'simple calc', 'Cached File Viewer', 'Misbehave', 'Feistel Barrier', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['cooldown', 'misc', 'misc', 'reversing', 'crypto', 'web', 'Warmup'], 'challenge_points': ['1', '156', '113', '114', '150', '100', '100'], 'solve_time': ['2024-12-15T06:59:23.095Z', '2024-12-15T05:59:54.880Z', '2024-12-14T14:02:20.643Z', '2024-12-14T13:51:56.786Z', '2024-12-14T13:50:20.172Z', '2024-12-14T09:24:12.706Z', '2024-12-14T07:02:20.437Z']}"
46,Caliphal,Hounds,"{'challenge_name': ['Cached File Viewer', 'Survey', 'Feistel Barrier', 'Mystery of Scattered Key', 'Misbehave', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['misc', 'cooldown', 'crypto', 'crypto', 'reversing', 'web', 'Warmup'], 'challenge_points': ['113', '1', '150', '125', '114', '100', '100'], 'solve_time': ['2024-12-14T18:36:01.375Z', '2024-12-14T16:42:01.545Z', '2024-12-14T14:09:02.291Z', '2024-12-14T13:37:37.287Z', '2024-12-14T13:06:30.814Z', '2024-12-14T10:33:29.248Z', '2024-12-14T09:01:46.222Z']}"
47,sayonara,696,"{'challenge_name': ['Feistel Barrier', 'Cached File Viewer', 'Mystery of Scattered Key', 'Password-Ate-Quiz', 'Sanity Check', 'Toolong Tea'], 'challenge_category': ['crypto', 'misc', 'crypto', 'pwn', 'Warmup', 'web'], 'challenge_points': ['150', '113', '125', '108', '100', '100'], 'solve_time': ['2024-12-15T03:46:40.751Z', '2024-12-14T13:53:54.132Z', '2024-12-14T12:17:33.711Z', '2024-12-14T08:36:16.667Z', '2024-12-14T07:17:25.791Z', '2024-12-14T07:08:49.499Z']}"
48,rikopeer,696,"{'challenge_name': ['Cached File Viewer', 'Password-Ate-Quiz', 'Feistel Barrier', 'Mystery of Scattered Key', 'Sanity Check', 'Toolong Tea'], 'challenge_category': ['misc', 'pwn', 'crypto', 'crypto', 'Warmup', 'web'], 'challenge_points': ['113', '108', '150', '125', '100', '100'], 'solve_time': ['2024-12-15T06:36:44.061Z', '2024-12-14T14:39:13.908Z', '2024-12-14T13:20:56.791Z', '2024-12-14T08:00:01.424Z', '2024-12-14T07:51:08.974Z', '2024-12-14T07:46:14.782Z']}"
49,L3ak,661,"{'challenge_name': ['I Have Been Pwned', 'Easy? ECDLP', 'Feistel Barrier', 'Mystery of Scattered Key'], 'challenge_category': ['web', 'crypto', 'crypto', 'crypto'], 'challenge_points': ['189', '197', '150', '125'], 'solve_time': ['2024-12-14T14:19:25.853Z', '2024-12-14T14:18:28.739Z', '2024-12-14T14:17:38.599Z', '2024-12-14T14:17:24.631Z']}"
50,SiBears,661,"{'challenge_name': ['Mystery of Scattered Key', 'Password-Ate-Quiz', 'Survey', 'Misbehave', 'Cached File Viewer', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['crypto', 'pwn', 'cooldown', 'reversing', 'misc', 'web', 'Warmup'], 'challenge_points': ['125', '108', '1', '114', '113', '100', '100'], 'solve_time': ['2024-12-14T19:03:49.423Z', '2024-12-14T17:26:22.293Z', '2024-12-14T14:21:42.912Z', '2024-12-14T12:37:42.525Z', '2024-12-14T11:05:07.295Z', '2024-12-14T08:20:22.677Z', '2024-12-14T07:52:54.542Z']}"
51,Kawaii,Raz0r,"{'challenge_name': ['Survey', 'Mystery of Scattered Key', 'Password-Ate-Quiz', 'Toolong Tea', 'Cached File Viewer', 'Misbehave', 'Sanity Check'], 'challenge_category': ['cooldown', 'crypto', 'pwn', 'web', 'misc', 'reversing', 'Warmup'], 'challenge_points': ['1', '125', '108', '100', '113', '114', '100'], 'solve_time': ['2024-12-15T04:39:04.229Z', '2024-12-14T20:03:43.052Z', '2024-12-14T16:32:25.886Z', '2024-12-14T15:26:59.643Z', '2024-12-14T12:07:55.772Z', '2024-12-14T08:46:17.274Z', '2024-12-14T07:07:41.502Z']}"
52,JumpingCats4000,661,"{'challenge_name': ['Survey', 'Cached File Viewer', 'Mystery of Scattered Key', 'Misbehave', 'Password-Ate-Quiz', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['cooldown', 'misc', 'crypto', 'reversing', 'pwn', 'web', 'Warmup'], 'challenge_points': ['1', '113', '125', '114', '108', '100', '100'], 'solve_time': ['2024-12-15T06:56:30.845Z', '2024-12-15T05:39:27.889Z', '2024-12-15T05:11:32.281Z', '2024-12-15T01:50:01.615Z', '2024-12-14T15:30:17.748Z', '2024-12-14T11:37:41.277Z', '2024-12-14T08:30:51.931Z']}"
53,Maple,Bacon,"{'challenge_name': ['simple calc', 'Cached File Viewer', 'I Have Been Pwned', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['misc', 'misc', 'web', 'web', 'Warmup'], 'challenge_points': ['156', '113', '189', '100', '100'], 'solve_time': ['2024-12-15T00:48:36.256Z', '2024-12-14T22:46:18.853Z', '2024-12-14T19:26:59.383Z', '2024-12-14T13:27:55.233Z', '2024-12-14T07:31:51.324Z']}"
54,78,601,"{'challenge_name': ['Cached File Viewer', 'vuln-img', 'Misbehave', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['misc', 'pwn', 'reversing', 'pwn', 'Warmup'], 'challenge_points': ['113', '166', '114', '108', '100'], 'solve_time': ['2024-12-14T10:45:36.667Z', '2024-12-14T10:20:51.136Z', '2024-12-14T10:06:11.288Z', '2024-12-14T07:34:12.778Z', '2024-12-14T07:01:23.522Z']}"
55,m1t0,601,"{'challenge_name': ['Cached File Viewer', 'vuln-img', 'Misbehave', 'Sanity Check', 'Password-Ate-Quiz'], 'challenge_category': ['misc', 'pwn', 'reversing', 'Warmup', 'pwn'], 'challenge_points': ['113', '166', '114', '100', '108'], 'solve_time': ['2024-12-14T13:50:16.983Z', '2024-12-14T13:25:21.123Z', '2024-12-14T08:40:32.492Z', '2024-12-14T07:59:01.621Z', '2024-12-14T07:53:07.806Z']}"
56,apricity,583,"{'challenge_name': ['Feistel Barrier', 'Password-Ate-Quiz', 'Toolong Tea', 'Sanity Check', 'Mystery of Scattered Key'], 'challenge_category': ['crypto', 'pwn', 'web', 'Warmup', 'crypto'], 'challenge_points': ['150', '108', '100', '100', '125'], 'solve_time': ['2024-12-14T17:39:38.387Z', '2024-12-14T09:31:45.872Z', '2024-12-14T08:49:45.482Z', '2024-12-14T08:21:10.490Z', '2024-12-14T07:49:52.374Z']}"
57,horny_burger,574,"{'challenge_name': ['Who is the Outlier?', 'Feistel Barrier', 'Easy? ECDLP'], 'challenge_category': ['crypto', 'crypto', 'crypto'], 'challenge_points': ['227', '150', '197'], 'solve_time': ['2024-12-14T18:59:49.251Z', '2024-12-14T15:46:49.848Z', '2024-12-14T08:16:08.790Z']}"
58,N30Z30N,573,"{'challenge_name': ['Survey', 'Feistel Barrier', 'Sanity Check', 'Easy? ECDLP', 'Mystery of Scattered Key'], 'challenge_category': ['cooldown', 'crypto', 'Warmup', 'crypto', 'crypto'], 'challenge_points': ['1', '150', '100', '197', '125'], 'solve_time': ['2024-12-15T03:50:51.593Z', '2024-12-15T03:48:52.860Z', '2024-12-14T13:36:28.753Z', '2024-12-14T13:32:37.807Z', '2024-12-14T08:09:27.759Z']}"
59,albantor30,560,"{'challenge_name': ['Password-Ate-Quiz', 'Misbehave', 'Cached File Viewer', 'Mystery of Scattered Key', 'Sanity Check'], 'challenge_category': ['pwn', 'reversing', 'misc', 'crypto', 'Warmup'], 'challenge_points': ['108', '114', '113', '125', '100'], 'solve_time': ['2024-12-15T04:33:43.524Z', '2024-12-15T03:18:26.111Z', '2024-12-14T23:01:12.314Z', '2024-12-14T21:50:48.568Z', '2024-12-14T10:34:34.421Z']}"
60,sknb,546,"{'challenge_name': ['Mystery of Scattered Key', 'Cached File Viewer', 'Password-Ate-Quiz', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['crypto', 'misc', 'pwn', 'web', 'Warmup'], 'challenge_points': ['125', '113', '108', '100', '100'], 'solve_time': ['2024-12-14T13:28:07.120Z', '2024-12-14T12:13:48.402Z', '2024-12-14T08:21:05.610Z', '2024-12-14T08:04:35.176Z', '2024-12-14T07:00:32.748Z']}"
61,_YAY_,536,"{'challenge_name': ['Cached File Viewer', 'Survey', 'Password-Ate-Quiz', 'Toolong Tea', 'Misbehave', 'Sanity Check'], 'challenge_category': ['misc', 'cooldown', 'pwn', 'web', 'reversing', 'Warmup'], 'challenge_points': ['113', '1', '108', '100', '114', '100'], 'solve_time': ['2024-12-14T15:10:36.431Z', '2024-12-14T15:00:05.801Z', '2024-12-14T13:51:25.166Z', '2024-12-14T12:48:48.354Z', '2024-12-14T09:04:56.129Z', '2024-12-14T08:06:02.460Z']}"
62,Himiko,536,"{'challenge_name': ['Survey', 'Cached File Viewer', 'Misbehave', 'Toolong Tea', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['cooldown', 'misc', 'reversing', 'web', 'pwn', 'Warmup'], 'challenge_points': ['1', '113', '114', '100', '108', '100'], 'solve_time': ['2024-12-14T15:16:49.706Z', '2024-12-14T13:17:59.950Z', '2024-12-14T10:37:15.133Z', '2024-12-14T08:53:09.091Z', '2024-12-14T08:16:56.816Z', '2024-12-14T07:04:28.452Z']}"
63,0nePadding,536,"{'challenge_name': ['Survey', 'Password-Ate-Quiz', 'Cached File Viewer', 'Toolong Tea', 'Misbehave', 'Sanity Check'], 'challenge_category': ['cooldown', 'pwn', 'misc', 'web', 'reversing', 'Warmup'], 'challenge_points': ['1', '108', '113', '100', '114', '100'], 'solve_time': ['2024-12-14T16:03:33.529Z', '2024-12-14T16:00:29.594Z', '2024-12-14T13:10:37.303Z', '2024-12-14T12:20:02.771Z', '2024-12-14T08:24:36.982Z', '2024-12-14T07:31:13.611Z']}"
64,Brunnerne,536,"{'challenge_name': ['Misbehave', 'Survey', 'Password-Ate-Quiz', 'Cached File Viewer', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['reversing', 'cooldown', 'pwn', 'misc', 'web', 'Warmup'], 'challenge_points': ['114', '1', '108', '113', '100', '100'], 'solve_time': ['2024-12-14T18:40:55.817Z', '2024-12-14T14:40:56.177Z', '2024-12-14T11:36:03.065Z', '2024-12-14T10:41:32.125Z', '2024-12-14T10:09:30.971Z', '2024-12-14T09:30:38.111Z']}"
65,trimscash,535,"{'challenge_name': ['Toolong Tea', 'Cached File Viewer', 'Misbehave', 'Sanity Check', 'Password-Ate-Quiz'], 'challenge_category': ['web', 'misc', 'reversing', 'Warmup', 'pwn'], 'challenge_points': ['100', '113', '114', '100', '108'], 'solve_time': ['2024-12-14T13:32:59.509Z', '2024-12-14T11:01:28.755Z', '2024-12-14T09:55:52.335Z', '2024-12-14T07:47:23.569Z', '2024-12-14T07:45:03.752Z']}"
66,RiST,535,"{'challenge_name': ['Cached File Viewer', 'Toolong Tea', 'Misbehave', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['misc', 'web', 'reversing', 'pwn', 'Warmup'], 'challenge_points': ['113', '100', '114', '108', '100'], 'solve_time': ['2024-12-14T18:04:01.817Z', '2024-12-14T12:25:16.377Z', '2024-12-14T09:39:30.690Z', '2024-12-14T08:08:04.689Z', '2024-12-14T07:02:16.100Z']}"
67,ramentime,535,"{'challenge_name': ['Misbehave', 'Cached File Viewer', 'Password-Ate-Quiz', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['reversing', 'misc', 'pwn', 'web', 'Warmup'], 'challenge_points': ['114', '113', '108', '100', '100'], 'solve_time': ['2024-12-15T02:14:27.635Z', '2024-12-14T23:11:06.525Z', '2024-12-14T21:58:34.506Z', '2024-12-14T19:55:43.307Z', '2024-12-14T07:03:59.981Z']}"
68,KGUCSL,535,"{'challenge_name': ['Cached File Viewer', 'Toolong Tea', 'Misbehave', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['misc', 'web', 'reversing', 'pwn', 'Warmup'], 'challenge_points': ['113', '100', '114', '108', '100'], 'solve_time': ['2024-12-15T03:43:33.633Z', '2024-12-14T14:35:00.203Z', '2024-12-14T10:16:15.954Z', '2024-12-14T09:04:41.703Z', '2024-12-14T07:03:47.951Z']}"
69,???%,497,"{'challenge_name': ['I Have Been Pwned', 'Password-Ate-Quiz', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'pwn', 'web', 'Warmup'], 'challenge_points': ['189', '108', '100', '100'], 'solve_time': ['2024-12-14T23:47:14.257Z', '2024-12-14T19:01:09.960Z', '2024-12-14T16:50:07.297Z', '2024-12-14T16:05:07.215Z']}"
70,oghans,475,"{'challenge_name': ['Feistel Barrier', 'Mystery of Scattered Key', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['crypto', 'crypto', 'web', 'Warmup'], 'challenge_points': ['150', '125', '100', '100'], 'solve_time': ['2024-12-15T02:38:18.366Z', '2024-12-14T16:55:51.024Z', '2024-12-14T08:21:26.838Z', '2024-12-14T08:14:14.321Z']}"
71,ZK,Lovers,"{'challenge_name': ['Feistel Barrier', 'Easy? ECDLP', 'Sanity Check'], 'challenge_category': ['crypto', 'crypto', 'Warmup'], 'challenge_points': ['150', '197', '100'], 'solve_time': ['2024-12-14T16:13:49.432Z', '2024-12-14T12:49:51.083Z', '2024-12-14T11:23:44.238Z']}"
72,Phish,Paprikash,"{'challenge_name': ['Misbehave', 'Toolong Tea', 'Mystery of Scattered Key', 'Sanity Check'], 'challenge_category': ['reversing', 'web', 'crypto', 'Warmup'], 'challenge_points': ['114', '100', '125', '100'], 'solve_time': ['2024-12-14T13:53:31.184Z', '2024-12-14T11:10:31.996Z', '2024-12-14T10:30:07.985Z', '2024-12-14T10:09:44.975Z']}"
73,xryasnoy,434,"{'challenge_name': ['Password-Ate-Quiz', 'Mystery of Scattered Key', 'Survey', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['pwn', 'crypto', 'cooldown', 'web', 'Warmup'], 'challenge_points': ['108', '125', '1', '100', '100'], 'solve_time': ['2024-12-15T06:07:28.745Z', '2024-12-15T01:19:55.220Z', '2024-12-14T19:30:55.864Z', '2024-12-14T07:52:37.264Z', '2024-12-14T07:02:26.950Z']}"
74,minimaeromae,428,"{'challenge_name': ['Survey', 'Cached File Viewer', 'Misbehave', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['cooldown', 'misc', 'reversing', 'web', 'Warmup'], 'challenge_points': ['1', '113', '114', '100', '100'], 'solve_time': ['2024-12-15T05:16:27.091Z', '2024-12-14T15:37:08.945Z', '2024-12-14T10:49:48.171Z', '2024-12-14T07:27:02.207Z', '2024-12-14T07:01:42.677Z']}"
75,B1pr06y-G,428,"{'challenge_name': ['Survey', 'Misbehave', 'Cached File Viewer', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['cooldown', 'reversing', 'misc', 'web', 'Warmup'], 'challenge_points': ['1', '114', '113', '100', '100'], 'solve_time': ['2024-12-15T05:51:56.278Z', '2024-12-15T05:44:10.702Z', '2024-12-14T12:20:39.484Z', '2024-12-14T08:06:17.030Z', '2024-12-14T07:00:18.165Z']}"
76,H4wkNTU4,427,"{'challenge_name': ['Misbehave', 'Cached File Viewer', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['reversing', 'misc', 'web', 'Warmup'], 'challenge_points': ['114', '113', '100', '100'], 'solve_time': ['2024-12-14T16:15:07.460Z', '2024-12-14T12:20:20.894Z', '2024-12-14T12:20:17.331Z', '2024-12-14T10:59:45.644Z']}"
77,sa*,427,"{'challenge_name': ['Cached File Viewer', 'Misbehave', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['misc', 'reversing', 'web', 'Warmup'], 'challenge_points': ['113', '114', '100', '100'], 'solve_time': ['2024-12-15T03:53:43.021Z', '2024-12-14T17:32:56.587Z', '2024-12-14T14:50:32.505Z', '2024-12-14T14:22:03.572Z']}"
78,ThisIsAPineapple,423,"{'challenge_name': ['Survey', 'Misbehave', 'Password-Ate-Quiz', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['cooldown', 'reversing', 'pwn', 'web', 'Warmup'], 'challenge_points': ['1', '114', '108', '100', '100'], 'solve_time': ['2024-12-15T02:50:11.009Z', '2024-12-14T11:44:45.159Z', '2024-12-14T09:26:55.110Z', '2024-12-14T07:46:35.053Z', '2024-12-14T07:01:01.236Z']}"
79,Catnip-Security,422,"{'challenge_name': ['Password-Ate-Quiz', 'Misbehave', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['pwn', 'reversing', 'web', 'Warmup'], 'challenge_points': ['108', '114', '100', '100'], 'solve_time': ['2024-12-14T12:11:41.856Z', '2024-12-14T11:30:39.360Z', '2024-12-14T08:58:06.964Z', '2024-12-14T07:35:14.784Z']}"
80,/dev/stp,422,"{'challenge_name': ['Cached File Viewer', 'Survey', 'Toolong Tea', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['misc', 'cooldown', 'web', 'pwn', 'Warmup'], 'challenge_points': ['113', '1', '100', '108', '100'], 'solve_time': ['2024-12-14T14:22:42.479Z', '2024-12-14T14:12:42.067Z', '2024-12-14T12:55:35.656Z', '2024-12-14T10:51:45.664Z', '2024-12-14T08:23:02.581Z']}"
81,nishishinjuku-ctf,421,"{'challenge_name': ['Toolong Tea', 'Password-Ate-Quiz', 'Cached File Viewer', 'Sanity Check'], 'challenge_category': ['web', 'pwn', 'misc', 'Warmup'], 'challenge_points': ['100', '108', '113', '100'], 'solve_time': ['2024-12-14T14:50:06.219Z', '2024-12-14T13:52:16.564Z', '2024-12-14T13:40:35.103Z', '2024-12-14T07:01:39.095Z']}"
82,shin2ro,421,"{'challenge_name': ['Cached File Viewer', 'Password-Ate-Quiz', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['misc', 'pwn', 'web', 'Warmup'], 'challenge_points': ['113', '108', '100', '100'], 'solve_time': ['2024-12-14T18:15:39.137Z', '2024-12-14T16:05:45.310Z', '2024-12-14T11:19:37.988Z', '2024-12-14T07:40:49.040Z']}"
83,Jutlandia,421,"{'challenge_name': ['Password-Ate-Quiz', 'Sanity Check', 'Cached File Viewer', 'Toolong Tea'], 'challenge_category': ['pwn', 'Warmup', 'misc', 'web'], 'challenge_points': ['108', '100', '113', '100'], 'solve_time': ['2024-12-14T19:12:14.647Z', '2024-12-14T17:14:30.724Z', '2024-12-14T15:36:14.001Z', '2024-12-14T13:36:10.386Z']}"
84,nendo,374,"{'challenge_name': ['vuln-img', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['pwn', 'pwn', 'Warmup'], 'challenge_points': ['166', '108', '100'], 'solve_time': ['2024-12-14T12:37:49.235Z', '2024-12-14T10:12:07.515Z', '2024-12-14T09:47:33.303Z']}"
85,killswitch,339,"{'challenge_name': ['Mystery of Scattered Key', 'Misbehave', 'Sanity Check'], 'challenge_category': ['crypto', 'reversing', 'Warmup'], 'challenge_points': ['125', '114', '100'], 'solve_time': ['2024-12-14T18:18:16.311Z', '2024-12-14T17:26:33.850Z', '2024-12-14T07:23:41.228Z']}"
86,thehackerscrew,333,"{'challenge_name': ['Mystery of Scattered Key', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['crypto', 'pwn', 'Warmup'], 'challenge_points': ['125', '108', '100'], 'solve_time': ['2024-12-14T11:15:18.763Z', '2024-12-14T10:41:56.844Z', '2024-12-14T10:25:40.073Z']}"
87,conceal,327,"{'challenge_name': ['Cached File Viewer', 'Toolong Tea', 'Misbehave'], 'challenge_category': ['misc', 'web', 'reversing'], 'challenge_points': ['113', '100', '114'], 'solve_time': ['2024-12-15T06:59:30.249Z', '2024-12-14T14:17:09.538Z', '2024-12-14T12:30:56.472Z']}"
88,Martial_Law_Enforcer,325,"{'challenge_name': ['Toolong Tea', 'Mystery of Scattered Key', 'Sanity Check'], 'challenge_category': ['web', 'crypto', 'Warmup'], 'challenge_points': ['100', '125', '100'], 'solve_time': ['2024-12-14T17:07:00.654Z', '2024-12-14T17:03:10.752Z', '2024-12-14T07:52:17.082Z']}"
89,ATS,325,"{'challenge_name': ['Mystery of Scattered Key', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['crypto', 'web', 'Warmup'], 'challenge_points': ['125', '100', '100'], 'solve_time': ['2024-12-14T21:22:38.457Z', '2024-12-14T20:27:49.160Z', '2024-12-14T15:41:56.598Z']}"
90,k0kos,322,"{'challenge_name': ['Misbehave', 'Password-Ate-Quiz', 'Toolong Tea'], 'challenge_category': ['reversing', 'pwn', 'web'], 'challenge_points': ['114', '108', '100'], 'solve_time': ['2024-12-14T19:16:09.982Z', '2024-12-14T17:07:48.314Z', '2024-12-14T14:31:27.694Z']}"
91,3r0th3r,CC,"{'challenge_name': ['Misbehave', 'Toolong Tea', 'Sanity Check', 'Survey'], 'challenge_category': ['reversing', 'web', 'Warmup', 'cooldown'], 'challenge_points': ['114', '100', '100', '1'], 'solve_time': ['2024-12-15T06:58:55.935Z', '2024-12-15T04:15:21.921Z', '2024-12-15T02:42:41.626Z', '2024-12-15T02:40:23.633Z']}"
92,mizore_fuyu,314,"{'challenge_name': ['Misbehave', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['reversing', 'web', 'Warmup'], 'challenge_points': ['114', '100', '100'], 'solve_time': ['2024-12-14T15:28:46.314Z', '2024-12-14T07:27:22.493Z', '2024-12-14T07:09:12.087Z']}"
93,dadwqeqwd,314,"{'challenge_name': ['Misbehave', 'Sanity Check', 'Toolong Tea'], 'challenge_category': ['reversing', 'Warmup', 'web'], 'challenge_points': ['114', '100', '100'], 'solve_time': ['2024-12-14T20:32:32.319Z', '2024-12-14T20:12:53.181Z', '2024-12-14T16:13:34.444Z']}"
94,idkijustlovectfs,314,"{'challenge_name': ['Survey', 'Sanity Check', 'Cached File Viewer', 'Toolong Tea'], 'challenge_category': ['cooldown', 'Warmup', 'misc', 'web'], 'challenge_points': ['1', '100', '113', '100'], 'solve_time': ['2024-12-15T02:06:11.607Z', '2024-12-15T02:04:03.836Z', '2024-12-14T23:36:44.554Z', '2024-12-14T20:33:20.515Z']}"
95,zgr_fun,313,"{'challenge_name': ['Cached File Viewer', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['misc', 'web', 'Warmup'], 'challenge_points': ['113', '100', '100'], 'solve_time': ['2024-12-14T09:16:10.482Z', '2024-12-14T08:22:14.879Z', '2024-12-14T07:37:18.798Z']}"
96,Deadline,Crusher,"{'challenge_name': ['Survey', 'Password-Ate-Quiz', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['cooldown', 'pwn', 'web', 'Warmup'], 'challenge_points': ['1', '108', '100', '100'], 'solve_time': ['2024-12-14T14:10:17.773Z', '2024-12-14T12:25:12.554Z', '2024-12-14T12:23:32.273Z', '2024-12-14T07:02:43.509Z']}"
97,RE:UN10N,309,"{'challenge_name': ['Survey', 'Password-Ate-Quiz', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['cooldown', 'pwn', 'web', 'Warmup'], 'challenge_points': ['1', '108', '100', '100'], 'solve_time': ['2024-12-14T15:12:25.126Z', '2024-12-14T12:01:50.826Z', '2024-12-14T11:47:45.377Z', '2024-12-14T07:02:00.915Z']}"
98,Cool,Team,"{'challenge_name': ['Password-Ate-Quiz', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['pwn', 'web', 'Warmup'], 'challenge_points': ['108', '100', '100'], 'solve_time': ['2024-12-14T14:01:25.405Z', '2024-12-14T09:16:41.726Z', '2024-12-14T07:03:02.863Z']}"
99,ysokk,308,"{'challenge_name': ['Toolong Tea', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['web', 'pwn', 'Warmup'], 'challenge_points': ['100', '108', '100'], 'solve_time': ['2024-12-14T16:16:45.322Z', '2024-12-14T15:54:44.922Z', '2024-12-14T08:56:15.066Z']}"
